id,codigoEstacao,codigoAdicional,aneelPlu,aneelFlu,nome,latitude,longitude,altitude,ultimaAtualizacao,baciaCodigo,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,subBaciaCodigo,rioCodigo,estadoCodigo,municipioCodigo,responsavelCodigo,operadoraCodigo,menorDataPeriodo,maiorDataPeriodo,responsavelSigla,operadoraSigla,tipoEstacao,operando,codigoNome,selecionada,baixarChuva,baixarNivel,baixarVazao,latFormatada,lonFormatada,peridoDisponibilidade,horQChuva,horChuva,horQNivelAdotado,horNivelAdotado,horQVazao,horVazao
"{'horEstacao': 63737082, 'horDataHora': '2022-08-17T10:00:00.000+0000'}",37145910,37145910,37145910,,AÇUDE CARNAÚBA - JUSANTE,-6.6269,-37.1489,177,2024-05-03T15:15:48.410+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIACHO QUIXERE,RIO GRANDE DO NORTE,SÃO JOÃO DO SABUGI,37,37129000,10,10121000,1,1,2022-08-17T10:00:00.000+0000,2024-04-04T20:00:00.000+0000,ANA,CPRM,Fluviométrica,1,63737082 - AÇUDE CARNAÚBA - JUSANTE,,False,False,False,S 6° 37' 36.84'',W 37° 8' 56.04'',17/08/2022 à 04/04/2024,,,0.0,31.0,,
"{'horEstacao': 63737082, 'horDataHora': '2022-08-18T10:00:00.000+0000'}",37145910,37145910,37145910,,AÇUDE CARNAÚBA - JUSANTE,-6.6269,-37.1489,177,2024-05-03T15:15:48.410+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIACHO QUIXERE,RIO GRANDE DO NORTE,SÃO JOÃO DO SABUGI,37,37129000,10,10121000,1,1,2022-08-17T10:00:00.000+0000,2024-04-04T20:00:00.000+0000,ANA,CPRM,Fluviométrica,1,63737082 - AÇUDE CARNAÚBA - JUSANTE,,False,False,False,S 6° 37' 36.84'',W 37° 8' 56.04'',17/08/2022 à 04/04/2024,,,0.0,29.0,,
"{'horEstacao': 63737082, 'horDataHora': '2022-08-19T10:00:00.000+0000'}",37145910,37145910,37145910,,AÇUDE CARNAÚBA - JUSANTE,-6.6269,-37.1489,177,2024-05-03T15:15:48.410+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIACHO QUIXERE,RIO GRANDE DO NORTE,SÃO JOÃO DO SABUGI,37,37129000,10,10121000,1,1,2022-08-17T10:00:00.000+0000,2024-04-04T20:00:00.000+0000,ANA,CPRM,Fluviométrica,1,63737082 - AÇUDE CARNAÚBA - JUSANTE,,False,False,False,S 6° 37' 36.84'',W 37° 8' 56.04'',17/08/2022 à 04/04/2024,,,0.0,29.0,,
"{'horEstacao': 63737082, 'horDataHora': '2022-08-20T10:00:00.000+0000'}",37145910,37145910,37145910,,AÇUDE CARNAÚBA - JUSANTE,-6.6269,-37.1489,177,2024-05-03T15:15:48.410+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIACHO QUIXERE,RIO GRANDE DO NORTE,SÃO JOÃO DO SABUGI,37,37129000,10,10121000,1,1,2022-08-17T10:00:00.000+0000,2024-04-04T20:00:00.000+0000,ANA,CPRM,Fluviométrica,1,63737082 - AÇUDE CARNAÚBA - JUSANTE,,False,False,False,S 6° 37' 36.84'',W 37° 8' 56.04'',17/08/2022 à 04/04/2024,,,0.0,28.0,,
"{'horEstacao': 63737082, 'horDataHora': '2022-08-21T10:00:00.000+0000'}",37145910,37145910,37145910,,AÇUDE CARNAÚBA - JUSANTE,-6.6269,-37.1489,177,2024-05-03T15:15:48.410+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIACHO QUIXERE,RIO GRANDE DO NORTE,SÃO JOÃO DO SABUGI,37,37129000,10,10121000,1,1,2022-08-17T10:00:00.000+0000,2024-04-04T20:00:00.000+0000,ANA,CPRM,Fluviométrica,1,63737082 - AÇUDE CARNAÚBA - JUSANTE,,False,False,False,S 6° 37' 36.84'',W 37° 8' 56.04'',17/08/2022 à 04/04/2024,,,0.0,28.0,,
"{'horEstacao': 63737082, 'horDataHora': '2022-08-22T10:00:00.000+0000'}",37145910,37145910,37145910,,AÇUDE CARNAÚBA - JUSANTE,-6.6269,-37.1489,177,2024-05-03T15:15:48.410+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIACHO QUIXERE,RIO GRANDE DO NORTE,SÃO JOÃO DO SABUGI,37,37129000,10,10121000,1,1,2022-08-17T10:00:00.000+0000,2024-04-04T20:00:00.000+0000,ANA,CPRM,Fluviométrica,1,63737082 - AÇUDE CARNAÚBA - JUSANTE,,False,False,False,S 6° 37' 36.84'',W 37° 8' 56.04'',17/08/2022 à 04/04/2024,,,0.0,28.0,,
"{'horEstacao': 63737082, 'horDataHora': '2022-08-23T10:00:00.000+0000'}",37145910,37145910,37145910,,AÇUDE CARNAÚBA - JUSANTE,-6.6269,-37.1489,177,2024-05-03T15:15:48.410+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIACHO QUIXERE,RIO GRANDE DO NORTE,SÃO JOÃO DO SABUGI,37,37129000,10,10121000,1,1,2022-08-17T10:00:00.000+0000,2024-04-04T20:00:00.000+0000,ANA,CPRM,Fluviométrica,1,63737082 - AÇUDE CARNAÚBA - JUSANTE,,False,False,False,S 6° 37' 36.84'',W 37° 8' 56.04'',17/08/2022 à 04/04/2024,,,0.0,28.0,,
"{'horEstacao': 63737082, 'horDataHora': '2022-08-24T10:00:00.000+0000'}",37145910,37145910,37145910,,AÇUDE CARNAÚBA - JUSANTE,-6.6269,-37.1489,177,2024-05-03T15:15:48.410+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIACHO QUIXERE,RIO GRANDE DO NORTE,SÃO JOÃO DO SABUGI,37,37129000,10,10121000,1,1,2022-08-17T10:00:00.000+0000,2024-04-04T20:00:00.000+0000,ANA,CPRM,Fluviométrica,1,63737082 - AÇUDE CARNAÚBA - JUSANTE,,False,False,False,S 6° 37' 36.84'',W 37° 8' 56.04'',17/08/2022 à 04/04/2024,,,0.0,28.0,,
"{'horEstacao': 63737082, 'horDataHora': '2022-08-25T10:00:00.000+0000'}",37145910,37145910,37145910,,AÇUDE CARNAÚBA - JUSANTE,-6.6269,-37.1489,177,2024-05-03T15:15:48.410+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIACHO QUIXERE,RIO GRANDE DO NORTE,SÃO JOÃO DO SABUGI,37,37129000,10,10121000,1,1,2022-08-17T10:00:00.000+0000,2024-04-04T20:00:00.000+0000,ANA,CPRM,Fluviométrica,1,63737082 - AÇUDE CARNAÚBA - JUSANTE,,False,False,False,S 6° 37' 36.84'',W 37° 8' 56.04'',17/08/2022 à 04/04/2024,,,0.0,27.0,,
"{'horEstacao': 63737082, 'horDataHora': '2022-08-26T10:00:00.000+0000'}",37145910,37145910,37145910,,AÇUDE CARNAÚBA - JUSANTE,-6.6269,-37.1489,177,2024-05-03T15:15:48.410+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIACHO QUIXERE,RIO GRANDE DO NORTE,SÃO JOÃO DO SABUGI,37,37129000,10,10121000,1,1,2022-08-17T10:00:00.000+0000,2024-04-04T20:00:00.000+0000,ANA,CPRM,Fluviométrica,1,63737082 - AÇUDE CARNAÚBA - JUSANTE,,False,False,False,S 6° 37' 36.84'',W 37° 8' 56.04'',17/08/2022 à 04/04/2024,,,0.0,28.0,,
