id,codigoEstacao,codigoAdicional,aneelPlu,aneelFlu,nome,latitude,longitude,altitude,ultimaAtualizacao,baciaCodigo,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,subBaciaCodigo,rioCodigo,estadoCodigo,municipioCodigo,responsavelCodigo,operadoraCodigo,menorDataPeriodo,maiorDataPeriodo,responsavelSigla,operadoraSigla,tipoEstacao,operando,codigoNome,selecionada,baixarChuva,baixarNivel,baixarVazao,latFormatada,lonFormatada,peridoDisponibilidade,horQChuva,horChuva,horQNivelAdotado,horNivelAdotado,horQVazao,horVazao
"{'horEstacao': 65537040, 'horDataHora': '2022-01-01T10:00:00.000+0000'}",37435000,37435000,37435000,,AÇUDE SÃO MAMEDE,-6.9317,-37.0719,,2024-02-09T15:22:46.100+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO SABUGI,PARAÍBA,SÃO MAMEDE,37,37248000,11,11149000,284,284,2018-03-08T10:00:00.000+0000,2024-05-29T10:00:00.000+0000,AESA-PB,AESA-PB,Fluviométrica,1,65537040 - AÇUDE SÃO MAMEDE,,False,False,False,S 6° 55' 54.12'',W 37° 4' 18.84'',08/03/2018 à 29/05/2024,,,6.0,,,
"{'horEstacao': 65537040, 'horDataHora': '2022-01-02T10:00:00.000+0000'}",37435000,37435000,37435000,,AÇUDE SÃO MAMEDE,-6.9317,-37.0719,,2024-02-09T15:22:46.100+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO SABUGI,PARAÍBA,SÃO MAMEDE,37,37248000,11,11149000,284,284,2018-03-08T10:00:00.000+0000,2024-05-29T10:00:00.000+0000,AESA-PB,AESA-PB,Fluviométrica,1,65537040 - AÇUDE SÃO MAMEDE,,False,False,False,S 6° 55' 54.12'',W 37° 4' 18.84'',08/03/2018 à 29/05/2024,,,6.0,,,
"{'horEstacao': 65537040, 'horDataHora': '2022-01-03T10:00:00.000+0000'}",37435000,37435000,37435000,,AÇUDE SÃO MAMEDE,-6.9317,-37.0719,,2024-02-09T15:22:46.100+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO SABUGI,PARAÍBA,SÃO MAMEDE,37,37248000,11,11149000,284,284,2018-03-08T10:00:00.000+0000,2024-05-29T10:00:00.000+0000,AESA-PB,AESA-PB,Fluviométrica,1,65537040 - AÇUDE SÃO MAMEDE,,False,False,False,S 6° 55' 54.12'',W 37° 4' 18.84'',08/03/2018 à 29/05/2024,,,6.0,,,
"{'horEstacao': 65537040, 'horDataHora': '2022-01-04T10:00:00.000+0000'}",37435000,37435000,37435000,,AÇUDE SÃO MAMEDE,-6.9317,-37.0719,,2024-02-09T15:22:46.100+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO SABUGI,PARAÍBA,SÃO MAMEDE,37,37248000,11,11149000,284,284,2018-03-08T10:00:00.000+0000,2024-05-29T10:00:00.000+0000,AESA-PB,AESA-PB,Fluviométrica,1,65537040 - AÇUDE SÃO MAMEDE,,False,False,False,S 6° 55' 54.12'',W 37° 4' 18.84'',08/03/2018 à 29/05/2024,,,6.0,,,
"{'horEstacao': 65537040, 'horDataHora': '2022-01-05T10:00:00.000+0000'}",37435000,37435000,37435000,,AÇUDE SÃO MAMEDE,-6.9317,-37.0719,,2024-02-09T15:22:46.100+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO SABUGI,PARAÍBA,SÃO MAMEDE,37,37248000,11,11149000,284,284,2018-03-08T10:00:00.000+0000,2024-05-29T10:00:00.000+0000,AESA-PB,AESA-PB,Fluviométrica,1,65537040 - AÇUDE SÃO MAMEDE,,False,False,False,S 6° 55' 54.12'',W 37° 4' 18.84'',08/03/2018 à 29/05/2024,,,6.0,,,
"{'horEstacao': 65537040, 'horDataHora': '2022-01-06T10:00:00.000+0000'}",37435000,37435000,37435000,,AÇUDE SÃO MAMEDE,-6.9317,-37.0719,,2024-02-09T15:22:46.100+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO SABUGI,PARAÍBA,SÃO MAMEDE,37,37248000,11,11149000,284,284,2018-03-08T10:00:00.000+0000,2024-05-29T10:00:00.000+0000,AESA-PB,AESA-PB,Fluviométrica,1,65537040 - AÇUDE SÃO MAMEDE,,False,False,False,S 6° 55' 54.12'',W 37° 4' 18.84'',08/03/2018 à 29/05/2024,,,6.0,,,
"{'horEstacao': 65537040, 'horDataHora': '2022-01-07T10:00:00.000+0000'}",37435000,37435000,37435000,,AÇUDE SÃO MAMEDE,-6.9317,-37.0719,,2024-02-09T15:22:46.100+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO SABUGI,PARAÍBA,SÃO MAMEDE,37,37248000,11,11149000,284,284,2018-03-08T10:00:00.000+0000,2024-05-29T10:00:00.000+0000,AESA-PB,AESA-PB,Fluviométrica,1,65537040 - AÇUDE SÃO MAMEDE,,False,False,False,S 6° 55' 54.12'',W 37° 4' 18.84'',08/03/2018 à 29/05/2024,,,6.0,,,
"{'horEstacao': 65537040, 'horDataHora': '2022-01-10T10:00:00.000+0000'}",37435000,37435000,37435000,,AÇUDE SÃO MAMEDE,-6.9317,-37.0719,,2024-02-09T15:22:46.100+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO SABUGI,PARAÍBA,SÃO MAMEDE,37,37248000,11,11149000,284,284,2018-03-08T10:00:00.000+0000,2024-05-29T10:00:00.000+0000,AESA-PB,AESA-PB,Fluviométrica,1,65537040 - AÇUDE SÃO MAMEDE,,False,False,False,S 6° 55' 54.12'',W 37° 4' 18.84'',08/03/2018 à 29/05/2024,,,6.0,,,
"{'horEstacao': 65537040, 'horDataHora': '2022-01-11T10:00:00.000+0000'}",37435000,37435000,37435000,,AÇUDE SÃO MAMEDE,-6.9317,-37.0719,,2024-02-09T15:22:46.100+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO SABUGI,PARAÍBA,SÃO MAMEDE,37,37248000,11,11149000,284,284,2018-03-08T10:00:00.000+0000,2024-05-29T10:00:00.000+0000,AESA-PB,AESA-PB,Fluviométrica,1,65537040 - AÇUDE SÃO MAMEDE,,False,False,False,S 6° 55' 54.12'',W 37° 4' 18.84'',08/03/2018 à 29/05/2024,,,6.0,,,
"{'horEstacao': 65537040, 'horDataHora': '2022-01-12T10:00:00.000+0000'}",37435000,37435000,37435000,,AÇUDE SÃO MAMEDE,-6.9317,-37.0719,,2024-02-09T15:22:46.100+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO SABUGI,PARAÍBA,SÃO MAMEDE,37,37248000,11,11149000,284,284,2018-03-08T10:00:00.000+0000,2024-05-29T10:00:00.000+0000,AESA-PB,AESA-PB,Fluviométrica,1,65537040 - AÇUDE SÃO MAMEDE,,False,False,False,S 6° 55' 54.12'',W 37° 4' 18.84'',08/03/2018 à 29/05/2024,,,6.0,,,
