id,codigoEstacao,codigoAdicional,aneelPlu,aneelFlu,nome,latitude,longitude,altitude,ultimaAtualizacao,baciaCodigo,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,subBaciaCodigo,rioCodigo,estadoCodigo,municipioCodigo,responsavelCodigo,operadoraCodigo,menorDataPeriodo,maiorDataPeriodo,responsavelSigla,operadoraSigla,tipoEstacao,operando,codigoNome,selecionada,baixarChuva,baixarNivel,baixarVazao,latFormatada,lonFormatada,peridoDisponibilidade,horQChuva,horChuva,horQNivelAdotado,horNivelAdotado,horQVazao,horVazao
"{'horEstacao': 154947570, 'horDataHora': '2023-01-01T03:00:00.000+0000'}",60478250,60478250,60478250,,ESTAÇÃO TESTE_F,-15.8167,-47.95,,2024-04-07T14:29:04.067+0000,6,6 - Rio Paraná ,60 - RIO PARANAIBA,RIACHO FUNDO,DISTRITO FEDERAL,BRASÍLIA,60,60321180,27,27001000,1,1,2022-03-07T20:30:00.000+0000,2024-05-29T20:00:00.000+0000,ANA,ANA,Fluviométrica,1,154947570 - ESTAÇÃO TESTE_F,,False,False,False,S 15° 49' 0.12'',W 47° 57' 0.00'',07/03/2022 à 29/05/2024,0.0,0.0,0.0,1630.0,0.0,18519.3
"{'horEstacao': 154947570, 'horDataHora': '2023-01-01T03:15:00.000+0000'}",60478250,60478250,60478250,,ESTAÇÃO TESTE_F,-15.8167,-47.95,,2024-04-07T14:29:04.067+0000,6,6 - Rio Paraná ,60 - RIO PARANAIBA,RIACHO FUNDO,DISTRITO FEDERAL,BRASÍLIA,60,60321180,27,27001000,1,1,2022-03-07T20:30:00.000+0000,2024-05-29T20:00:00.000+0000,ANA,ANA,Fluviométrica,1,154947570 - ESTAÇÃO TESTE_F,,False,False,False,S 15° 49' 0.12'',W 47° 57' 0.00'',07/03/2022 à 29/05/2024,0.0,0.0,0.0,1625.0,0.0,18381.5
"{'horEstacao': 154947570, 'horDataHora': '2023-01-01T03:30:00.000+0000'}",60478250,60478250,60478250,,ESTAÇÃO TESTE_F,-15.8167,-47.95,,2024-04-07T14:29:04.067+0000,6,6 - Rio Paraná ,60 - RIO PARANAIBA,RIACHO FUNDO,DISTRITO FEDERAL,BRASÍLIA,60,60321180,27,27001000,1,1,2022-03-07T20:30:00.000+0000,2024-05-29T20:00:00.000+0000,ANA,ANA,Fluviométrica,1,154947570 - ESTAÇÃO TESTE_F,,False,False,False,S 15° 49' 0.12'',W 47° 57' 0.00'',07/03/2022 à 29/05/2024,0.0,0.0,0.0,1623.0,0.0,18326.5
"{'horEstacao': 154947570, 'horDataHora': '2023-01-01T03:45:00.000+0000'}",60478250,60478250,60478250,,ESTAÇÃO TESTE_F,-15.8167,-47.95,,2024-04-07T14:29:04.067+0000,6,6 - Rio Paraná ,60 - RIO PARANAIBA,RIACHO FUNDO,DISTRITO FEDERAL,BRASÍLIA,60,60321180,27,27001000,1,1,2022-03-07T20:30:00.000+0000,2024-05-29T20:00:00.000+0000,ANA,ANA,Fluviométrica,1,154947570 - ESTAÇÃO TESTE_F,,False,False,False,S 15° 49' 0.12'',W 47° 57' 0.00'',07/03/2022 à 29/05/2024,0.0,0.0,0.0,1626.0,0.0,18409.1
"{'horEstacao': 154947570, 'horDataHora': '2023-01-01T04:00:00.000+0000'}",60478250,60478250,60478250,,ESTAÇÃO TESTE_F,-15.8167,-47.95,,2024-04-07T14:29:04.067+0000,6,6 - Rio Paraná ,60 - RIO PARANAIBA,RIACHO FUNDO,DISTRITO FEDERAL,BRASÍLIA,60,60321180,27,27001000,1,1,2022-03-07T20:30:00.000+0000,2024-05-29T20:00:00.000+0000,ANA,ANA,Fluviométrica,1,154947570 - ESTAÇÃO TESTE_F,,False,False,False,S 15° 49' 0.12'',W 47° 57' 0.00'',07/03/2022 à 29/05/2024,0.0,0.0,0.0,1624.0,0.0,18354.0
"{'horEstacao': 154947570, 'horDataHora': '2023-01-01T04:15:00.000+0000'}",60478250,60478250,60478250,,ESTAÇÃO TESTE_F,-15.8167,-47.95,,2024-04-07T14:29:04.067+0000,6,6 - Rio Paraná ,60 - RIO PARANAIBA,RIACHO FUNDO,DISTRITO FEDERAL,BRASÍLIA,60,60321180,27,27001000,1,1,2022-03-07T20:30:00.000+0000,2024-05-29T20:00:00.000+0000,ANA,ANA,Fluviométrica,1,154947570 - ESTAÇÃO TESTE_F,,False,False,False,S 15° 49' 0.12'',W 47° 57' 0.00'',07/03/2022 à 29/05/2024,0.0,0.0,0.0,1625.0,0.0,18381.5
"{'horEstacao': 154947570, 'horDataHora': '2023-01-01T04:30:00.000+0000'}",60478250,60478250,60478250,,ESTAÇÃO TESTE_F,-15.8167,-47.95,,2024-04-07T14:29:04.067+0000,6,6 - Rio Paraná ,60 - RIO PARANAIBA,RIACHO FUNDO,DISTRITO FEDERAL,BRASÍLIA,60,60321180,27,27001000,1,1,2022-03-07T20:30:00.000+0000,2024-05-29T20:00:00.000+0000,ANA,ANA,Fluviométrica,1,154947570 - ESTAÇÃO TESTE_F,,False,False,False,S 15° 49' 0.12'',W 47° 57' 0.00'',07/03/2022 à 29/05/2024,0.0,0.0,0.0,1624.0,0.0,18354.0
"{'horEstacao': 154947570, 'horDataHora': '2023-01-01T04:45:00.000+0000'}",60478250,60478250,60478250,,ESTAÇÃO TESTE_F,-15.8167,-47.95,,2024-04-07T14:29:04.067+0000,6,6 - Rio Paraná ,60 - RIO PARANAIBA,RIACHO FUNDO,DISTRITO FEDERAL,BRASÍLIA,60,60321180,27,27001000,1,1,2022-03-07T20:30:00.000+0000,2024-05-29T20:00:00.000+0000,ANA,ANA,Fluviométrica,1,154947570 - ESTAÇÃO TESTE_F,,False,False,False,S 15° 49' 0.12'',W 47° 57' 0.00'',07/03/2022 à 29/05/2024,0.0,0.0,0.0,1624.0,0.0,18354.0
"{'horEstacao': 154947570, 'horDataHora': '2023-01-01T05:00:00.000+0000'}",60478250,60478250,60478250,,ESTAÇÃO TESTE_F,-15.8167,-47.95,,2024-04-07T14:29:04.067+0000,6,6 - Rio Paraná ,60 - RIO PARANAIBA,RIACHO FUNDO,DISTRITO FEDERAL,BRASÍLIA,60,60321180,27,27001000,1,1,2022-03-07T20:30:00.000+0000,2024-05-29T20:00:00.000+0000,ANA,ANA,Fluviométrica,1,154947570 - ESTAÇÃO TESTE_F,,False,False,False,S 15° 49' 0.12'',W 47° 57' 0.00'',07/03/2022 à 29/05/2024,0.0,0.0,0.0,1654.0,0.0,19186.1
"{'horEstacao': 154947570, 'horDataHora': '2023-01-01T05:15:00.000+0000'}",60478250,60478250,60478250,,ESTAÇÃO TESTE_F,-15.8167,-47.95,,2024-04-07T14:29:04.067+0000,6,6 - Rio Paraná ,60 - RIO PARANAIBA,RIACHO FUNDO,DISTRITO FEDERAL,BRASÍLIA,60,60321180,27,27001000,1,1,2022-03-07T20:30:00.000+0000,2024-05-29T20:00:00.000+0000,ANA,ANA,Fluviométrica,1,154947570 - ESTAÇÃO TESTE_F,,False,False,False,S 15° 49' 0.12'',W 47° 57' 0.00'',07/03/2022 à 29/05/2024,0.0,0.0,0.0,1626.0,0.0,18409.1
