id,codigoEstacao,codigoAdicional,aneelPlu,aneelFlu,nome,latitude,longitude,altitude,ultimaAtualizacao,baciaCodigo,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,subBaciaCodigo,rioCodigo,estadoCodigo,municipioCodigo,responsavelCodigo,operadoraCodigo,menorDataPeriodo,maiorDataPeriodo,responsavelSigla,operadoraSigla,tipoEstacao,operando,codigoNome,selecionada,baixarChuva,baixarNivel,baixarVazao,latFormatada,lonFormatada,peridoDisponibilidade,horQChuva,horChuva,horQNivelAdotado,horNivelAdotado,horQVazao,horVazao
"{'horEstacao': 111339570, 'horDataHora': '2023-01-01T10:00:00.000+0000'}",50455000,50455000,50455000,,AÇUDE RIO DO PEIXE,-11.2303,-39.9656,347,2024-02-09T15:23:11.453+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO DO PEIXE,BAHIA,CAPIM GROSSO,50,50500640,16,16067600,1,1,2018-07-20T10:00:00.000+0000,2024-05-25T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,111339570 - AÇUDE RIO DO PEIXE,,False,False,False,S 11° 13' 49.08'',W 39° 57' 56.16'',20/07/2018 à 25/05/2024,,,1.0,9651.0,,
"{'horEstacao': 111339570, 'horDataHora': '2023-01-01T20:00:00.000+0000'}",50455000,50455000,50455000,,AÇUDE RIO DO PEIXE,-11.2303,-39.9656,347,2024-02-09T15:23:11.453+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO DO PEIXE,BAHIA,CAPIM GROSSO,50,50500640,16,16067600,1,1,2018-07-20T10:00:00.000+0000,2024-05-25T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,111339570 - AÇUDE RIO DO PEIXE,,False,False,False,S 11° 13' 49.08'',W 39° 57' 56.16'',20/07/2018 à 25/05/2024,,,0.0,9651.0,,
"{'horEstacao': 111339570, 'horDataHora': '2023-01-02T10:00:00.000+0000'}",50455000,50455000,50455000,,AÇUDE RIO DO PEIXE,-11.2303,-39.9656,347,2024-02-09T15:23:11.453+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO DO PEIXE,BAHIA,CAPIM GROSSO,50,50500640,16,16067600,1,1,2018-07-20T10:00:00.000+0000,2024-05-25T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,111339570 - AÇUDE RIO DO PEIXE,,False,False,False,S 11° 13' 49.08'',W 39° 57' 56.16'',20/07/2018 à 25/05/2024,,,0.0,9650.0,,
"{'horEstacao': 111339570, 'horDataHora': '2023-01-02T20:00:00.000+0000'}",50455000,50455000,50455000,,AÇUDE RIO DO PEIXE,-11.2303,-39.9656,347,2024-02-09T15:23:11.453+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO DO PEIXE,BAHIA,CAPIM GROSSO,50,50500640,16,16067600,1,1,2018-07-20T10:00:00.000+0000,2024-05-25T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,111339570 - AÇUDE RIO DO PEIXE,,False,False,False,S 11° 13' 49.08'',W 39° 57' 56.16'',20/07/2018 à 25/05/2024,,,0.0,9650.0,,
"{'horEstacao': 111339570, 'horDataHora': '2023-01-03T10:00:00.000+0000'}",50455000,50455000,50455000,,AÇUDE RIO DO PEIXE,-11.2303,-39.9656,347,2024-02-09T15:23:11.453+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO DO PEIXE,BAHIA,CAPIM GROSSO,50,50500640,16,16067600,1,1,2018-07-20T10:00:00.000+0000,2024-05-25T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,111339570 - AÇUDE RIO DO PEIXE,,False,False,False,S 11° 13' 49.08'',W 39° 57' 56.16'',20/07/2018 à 25/05/2024,,,0.0,9652.0,,
"{'horEstacao': 111339570, 'horDataHora': '2023-01-03T20:00:00.000+0000'}",50455000,50455000,50455000,,AÇUDE RIO DO PEIXE,-11.2303,-39.9656,347,2024-02-09T15:23:11.453+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO DO PEIXE,BAHIA,CAPIM GROSSO,50,50500640,16,16067600,1,1,2018-07-20T10:00:00.000+0000,2024-05-25T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,111339570 - AÇUDE RIO DO PEIXE,,False,False,False,S 11° 13' 49.08'',W 39° 57' 56.16'',20/07/2018 à 25/05/2024,,,0.0,9652.0,,
"{'horEstacao': 111339570, 'horDataHora': '2023-01-04T10:00:00.000+0000'}",50455000,50455000,50455000,,AÇUDE RIO DO PEIXE,-11.2303,-39.9656,347,2024-02-09T15:23:11.453+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO DO PEIXE,BAHIA,CAPIM GROSSO,50,50500640,16,16067600,1,1,2018-07-20T10:00:00.000+0000,2024-05-25T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,111339570 - AÇUDE RIO DO PEIXE,,False,False,False,S 11° 13' 49.08'',W 39° 57' 56.16'',20/07/2018 à 25/05/2024,,,0.0,9652.0,,
"{'horEstacao': 111339570, 'horDataHora': '2023-01-04T20:00:00.000+0000'}",50455000,50455000,50455000,,AÇUDE RIO DO PEIXE,-11.2303,-39.9656,347,2024-02-09T15:23:11.453+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO DO PEIXE,BAHIA,CAPIM GROSSO,50,50500640,16,16067600,1,1,2018-07-20T10:00:00.000+0000,2024-05-25T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,111339570 - AÇUDE RIO DO PEIXE,,False,False,False,S 11° 13' 49.08'',W 39° 57' 56.16'',20/07/2018 à 25/05/2024,,,0.0,9652.0,,
"{'horEstacao': 111339570, 'horDataHora': '2023-01-05T10:00:00.000+0000'}",50455000,50455000,50455000,,AÇUDE RIO DO PEIXE,-11.2303,-39.9656,347,2024-02-09T15:23:11.453+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO DO PEIXE,BAHIA,CAPIM GROSSO,50,50500640,16,16067600,1,1,2018-07-20T10:00:00.000+0000,2024-05-25T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,111339570 - AÇUDE RIO DO PEIXE,,False,False,False,S 11° 13' 49.08'',W 39° 57' 56.16'',20/07/2018 à 25/05/2024,,,0.0,9652.0,,
"{'horEstacao': 111339570, 'horDataHora': '2023-01-05T20:00:00.000+0000'}",50455000,50455000,50455000,,AÇUDE RIO DO PEIXE,-11.2303,-39.9656,347,2024-02-09T15:23:11.453+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO DO PEIXE,BAHIA,CAPIM GROSSO,50,50500640,16,16067600,1,1,2018-07-20T10:00:00.000+0000,2024-05-25T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,111339570 - AÇUDE RIO DO PEIXE,,False,False,False,S 11° 13' 49.08'',W 39° 57' 56.16'',20/07/2018 à 25/05/2024,,,0.0,9652.0,,
