id,codigoEstacao,codigoAdicional,aneelPlu,aneelFlu,nome,latitude,longitude,altitude,ultimaAtualizacao,baciaCodigo,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,subBaciaCodigo,rioCodigo,estadoCodigo,municipioCodigo,responsavelCodigo,operadoraCodigo,menorDataPeriodo,maiorDataPeriodo,responsavelSigla,operadoraSigla,tipoEstacao,operando,codigoNome,selecionada,baixarChuva,baixarNivel,baixarVazao,latFormatada,lonFormatada,peridoDisponibilidade,horQChuva,horChuva,horQNivelAdotado,horNivelAdotado,horQVazao,horVazao
"{'horEstacao': 264651560, 'horDataHora': '2020-02-01T03:00:00.000+0000'}",73680800,73680800,,73680800,PCH PONTE SERRADA MONTANTE,-26.7808,-51.9478,,2020-09-14T03:00:00.000+0000,7,7 - Rio Uruguai,"73 - RIOS URUGUAI,CHAPECO E OUTROS",RIO CHAPECOZINHO,SANTA CATARINA,PASSOS MAIA,73,73202000,23,23120800,1054,1054,2020-02-01T03:00:00.000+0000,2024-05-28T13:00:00.000+0000,PONTE SERRADA,PONTE SERRADA,Fluviométrica,1,264651560 - PCH PONTE SERRADA MONTANTE,,False,False,False,S 26° 46' 50.88'',W 51° 56' 52.08'',01/02/2020 à 28/05/2024,0.0,0.0,0.0,843.16,,
"{'horEstacao': 264651560, 'horDataHora': '2020-03-01T03:00:00.000+0000'}",73680800,73680800,,73680800,PCH PONTE SERRADA MONTANTE,-26.7808,-51.9478,,2020-09-14T03:00:00.000+0000,7,7 - Rio Uruguai,"73 - RIOS URUGUAI,CHAPECO E OUTROS",RIO CHAPECOZINHO,SANTA CATARINA,PASSOS MAIA,73,73202000,23,23120800,1054,1054,2020-02-01T03:00:00.000+0000,2024-05-28T13:00:00.000+0000,PONTE SERRADA,PONTE SERRADA,Fluviométrica,1,264651560 - PCH PONTE SERRADA MONTANTE,,False,False,False,S 26° 46' 50.88'',W 51° 56' 52.08'',01/02/2020 à 28/05/2024,0.0,0.0,0.0,842.75,,
"{'horEstacao': 264651560, 'horDataHora': '2020-04-01T03:00:00.000+0000'}",73680800,73680800,,73680800,PCH PONTE SERRADA MONTANTE,-26.7808,-51.9478,,2020-09-14T03:00:00.000+0000,7,7 - Rio Uruguai,"73 - RIOS URUGUAI,CHAPECO E OUTROS",RIO CHAPECOZINHO,SANTA CATARINA,PASSOS MAIA,73,73202000,23,23120800,1054,1054,2020-02-01T03:00:00.000+0000,2024-05-28T13:00:00.000+0000,PONTE SERRADA,PONTE SERRADA,Fluviométrica,1,264651560 - PCH PONTE SERRADA MONTANTE,,False,False,False,S 26° 46' 50.88'',W 51° 56' 52.08'',01/02/2020 à 28/05/2024,0.0,0.0,0.0,842.75,,
"{'horEstacao': 264651560, 'horDataHora': '2020-05-01T03:00:00.000+0000'}",73680800,73680800,,73680800,PCH PONTE SERRADA MONTANTE,-26.7808,-51.9478,,2020-09-14T03:00:00.000+0000,7,7 - Rio Uruguai,"73 - RIOS URUGUAI,CHAPECO E OUTROS",RIO CHAPECOZINHO,SANTA CATARINA,PASSOS MAIA,73,73202000,23,23120800,1054,1054,2020-02-01T03:00:00.000+0000,2024-05-28T13:00:00.000+0000,PONTE SERRADA,PONTE SERRADA,Fluviométrica,1,264651560 - PCH PONTE SERRADA MONTANTE,,False,False,False,S 26° 46' 50.88'',W 51° 56' 52.08'',01/02/2020 à 28/05/2024,0.0,0.0,0.0,842.62,,
"{'horEstacao': 264651560, 'horDataHora': '2020-06-01T03:00:00.000+0000'}",73680800,73680800,,73680800,PCH PONTE SERRADA MONTANTE,-26.7808,-51.9478,,2020-09-14T03:00:00.000+0000,7,7 - Rio Uruguai,"73 - RIOS URUGUAI,CHAPECO E OUTROS",RIO CHAPECOZINHO,SANTA CATARINA,PASSOS MAIA,73,73202000,23,23120800,1054,1054,2020-02-01T03:00:00.000+0000,2024-05-28T13:00:00.000+0000,PONTE SERRADA,PONTE SERRADA,Fluviométrica,1,264651560 - PCH PONTE SERRADA MONTANTE,,False,False,False,S 26° 46' 50.88'',W 51° 56' 52.08'',01/02/2020 à 28/05/2024,0.0,0.0,0.0,842.68,,
"{'horEstacao': 264651560, 'horDataHora': '2020-07-01T03:00:00.000+0000'}",73680800,73680800,,73680800,PCH PONTE SERRADA MONTANTE,-26.7808,-51.9478,,2020-09-14T03:00:00.000+0000,7,7 - Rio Uruguai,"73 - RIOS URUGUAI,CHAPECO E OUTROS",RIO CHAPECOZINHO,SANTA CATARINA,PASSOS MAIA,73,73202000,23,23120800,1054,1054,2020-02-01T03:00:00.000+0000,2024-05-28T13:00:00.000+0000,PONTE SERRADA,PONTE SERRADA,Fluviométrica,1,264651560 - PCH PONTE SERRADA MONTANTE,,False,False,False,S 26° 46' 50.88'',W 51° 56' 52.08'',01/02/2020 à 28/05/2024,0.0,0.0,0.0,842.92,,
"{'horEstacao': 264651560, 'horDataHora': '2020-08-01T03:00:00.000+0000'}",73680800,73680800,,73680800,PCH PONTE SERRADA MONTANTE,-26.7808,-51.9478,,2020-09-14T03:00:00.000+0000,7,7 - Rio Uruguai,"73 - RIOS URUGUAI,CHAPECO E OUTROS",RIO CHAPECOZINHO,SANTA CATARINA,PASSOS MAIA,73,73202000,23,23120800,1054,1054,2020-02-01T03:00:00.000+0000,2024-05-28T13:00:00.000+0000,PONTE SERRADA,PONTE SERRADA,Fluviométrica,1,264651560 - PCH PONTE SERRADA MONTANTE,,False,False,False,S 26° 46' 50.88'',W 51° 56' 52.08'',01/02/2020 à 28/05/2024,0.0,0.0,0.0,842.68,,
"{'horEstacao': 264651560, 'horDataHora': '2020-09-01T03:00:00.000+0000'}",73680800,73680800,,73680800,PCH PONTE SERRADA MONTANTE,-26.7808,-51.9478,,2020-09-14T03:00:00.000+0000,7,7 - Rio Uruguai,"73 - RIOS URUGUAI,CHAPECO E OUTROS",RIO CHAPECOZINHO,SANTA CATARINA,PASSOS MAIA,73,73202000,23,23120800,1054,1054,2020-02-01T03:00:00.000+0000,2024-05-28T13:00:00.000+0000,PONTE SERRADA,PONTE SERRADA,Fluviométrica,1,264651560 - PCH PONTE SERRADA MONTANTE,,False,False,False,S 26° 46' 50.88'',W 51° 56' 52.08'',01/02/2020 à 28/05/2024,0.0,0.0,0.0,842.63,,
"{'horEstacao': 264651560, 'horDataHora': '2020-10-01T03:00:00.000+0000'}",73680800,73680800,,73680800,PCH PONTE SERRADA MONTANTE,-26.7808,-51.9478,,2020-09-14T03:00:00.000+0000,7,7 - Rio Uruguai,"73 - RIOS URUGUAI,CHAPECO E OUTROS",RIO CHAPECOZINHO,SANTA CATARINA,PASSOS MAIA,73,73202000,23,23120800,1054,1054,2020-02-01T03:00:00.000+0000,2024-05-28T13:00:00.000+0000,PONTE SERRADA,PONTE SERRADA,Fluviométrica,1,264651560 - PCH PONTE SERRADA MONTANTE,,False,False,False,S 26° 46' 50.88'',W 51° 56' 52.08'',01/02/2020 à 28/05/2024,0.0,0.0,0.0,842.73,,
"{'horEstacao': 264651560, 'horDataHora': '2020-10-06T04:28:04.000+0000'}",73680800,73680800,,73680800,PCH PONTE SERRADA MONTANTE,-26.7808,-51.9478,,2020-09-14T03:00:00.000+0000,7,7 - Rio Uruguai,"73 - RIOS URUGUAI,CHAPECO E OUTROS",RIO CHAPECOZINHO,SANTA CATARINA,PASSOS MAIA,73,73202000,23,23120800,1054,1054,2020-02-01T03:00:00.000+0000,2024-05-28T13:00:00.000+0000,PONTE SERRADA,PONTE SERRADA,Fluviométrica,1,264651560 - PCH PONTE SERRADA MONTANTE,,False,False,False,S 26° 46' 50.88'',W 51° 56' 52.08'',01/02/2020 à 28/05/2024,0.0,0.0,0.0,842.76,,
