id,codigoEstacao,codigoAdicional,aneelPlu,aneelFlu,nome,latitude,longitude,altitude,ultimaAtualizacao,baciaCodigo,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,subBaciaCodigo,rioCodigo,estadoCodigo,municipioCodigo,responsavelCodigo,operadoraCodigo,menorDataPeriodo,maiorDataPeriodo,responsavelSigla,operadoraSigla,tipoEstacao,operando,codigoNome,selecionada,baixarChuva,baixarNivel,baixarVazao,latFormatada,lonFormatada,peridoDisponibilidade,horQChuva,horChuva,horQNivelAdotado,horNivelAdotado,horQVazao,horVazao
"{'horEstacao': 132642120, 'horDataHora': '2023-01-01T10:00:00.000+0000'}",46230000,46230000,46230000,,AÇUDE ZABUMBÃO,-13.4356,-42.2106,,2024-02-09T15:23:04.773+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642120 - AÇUDE ZABUMBÃO,,False,False,False,S 13° 26' 8.16'',W 42° 12' 38.16'',28/02/2018 à 30/05/2024,,,0.0,67010.0,,
"{'horEstacao': 132642120, 'horDataHora': '2023-01-01T20:00:00.000+0000'}",46230000,46230000,46230000,,AÇUDE ZABUMBÃO,-13.4356,-42.2106,,2024-02-09T15:23:04.773+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642120 - AÇUDE ZABUMBÃO,,False,False,False,S 13° 26' 8.16'',W 42° 12' 38.16'',28/02/2018 à 30/05/2024,,,0.0,67009.0,,
"{'horEstacao': 132642120, 'horDataHora': '2023-01-02T10:00:00.000+0000'}",46230000,46230000,46230000,,AÇUDE ZABUMBÃO,-13.4356,-42.2106,,2024-02-09T15:23:04.773+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642120 - AÇUDE ZABUMBÃO,,False,False,False,S 13° 26' 8.16'',W 42° 12' 38.16'',28/02/2018 à 30/05/2024,,,0.0,67007.0,,
"{'horEstacao': 132642120, 'horDataHora': '2023-01-02T20:00:00.000+0000'}",46230000,46230000,46230000,,AÇUDE ZABUMBÃO,-13.4356,-42.2106,,2024-02-09T15:23:04.773+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642120 - AÇUDE ZABUMBÃO,,False,False,False,S 13° 26' 8.16'',W 42° 12' 38.16'',28/02/2018 à 30/05/2024,,,0.0,67006.0,,
"{'horEstacao': 132642120, 'horDataHora': '2023-01-03T10:00:00.000+0000'}",46230000,46230000,46230000,,AÇUDE ZABUMBÃO,-13.4356,-42.2106,,2024-02-09T15:23:04.773+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642120 - AÇUDE ZABUMBÃO,,False,False,False,S 13° 26' 8.16'',W 42° 12' 38.16'',28/02/2018 à 30/05/2024,,,0.0,67011.0,,
"{'horEstacao': 132642120, 'horDataHora': '2023-01-03T20:00:00.000+0000'}",46230000,46230000,46230000,,AÇUDE ZABUMBÃO,-13.4356,-42.2106,,2024-02-09T15:23:04.773+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642120 - AÇUDE ZABUMBÃO,,False,False,False,S 13° 26' 8.16'',W 42° 12' 38.16'',28/02/2018 à 30/05/2024,,,0.0,67013.0,,
"{'horEstacao': 132642120, 'horDataHora': '2023-01-04T10:00:00.000+0000'}",46230000,46230000,46230000,,AÇUDE ZABUMBÃO,-13.4356,-42.2106,,2024-02-09T15:23:04.773+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642120 - AÇUDE ZABUMBÃO,,False,False,False,S 13° 26' 8.16'',W 42° 12' 38.16'',28/02/2018 à 30/05/2024,,,1.0,67023.0,,
"{'horEstacao': 132642120, 'horDataHora': '2023-01-04T20:00:00.000+0000'}",46230000,46230000,46230000,,AÇUDE ZABUMBÃO,-13.4356,-42.2106,,2024-02-09T15:23:04.773+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642120 - AÇUDE ZABUMBÃO,,False,False,False,S 13° 26' 8.16'',W 42° 12' 38.16'',28/02/2018 à 30/05/2024,,,1.0,67022.0,,
"{'horEstacao': 132642120, 'horDataHora': '2023-01-05T10:00:00.000+0000'}",46230000,46230000,46230000,,AÇUDE ZABUMBÃO,-13.4356,-42.2106,,2024-02-09T15:23:04.773+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642120 - AÇUDE ZABUMBÃO,,False,False,False,S 13° 26' 8.16'',W 42° 12' 38.16'',28/02/2018 à 30/05/2024,,,0.0,67018.0,,
"{'horEstacao': 132642120, 'horDataHora': '2023-01-05T20:00:00.000+0000'}",46230000,46230000,46230000,,AÇUDE ZABUMBÃO,-13.4356,-42.2106,,2024-02-09T15:23:04.773+0000,4,4 - Rio São Francisco,"46 - RIOS SAO FRANCISCO,GRANDE E ..",RIO PARAMIRIM,BAHIA,PARAMIRIM,46,46200000,16,16236000,1,1,2018-02-28T20:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,INEMA-BA,Fluviométrica,1,132642120 - AÇUDE ZABUMBÃO,,False,False,False,S 13° 26' 8.16'',W 42° 12' 38.16'',28/02/2018 à 30/05/2024,,,0.0,67016.0,,
