id,codigoEstacao,codigoAdicional,aneelPlu,aneelFlu,nome,latitude,longitude,altitude,ultimaAtualizacao,baciaCodigo,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,subBaciaCodigo,rioCodigo,estadoCodigo,municipioCodigo,responsavelCodigo,operadoraCodigo,menorDataPeriodo,maiorDataPeriodo,responsavelSigla,operadoraSigla,tipoEstacao,operando,codigoNome,selecionada,baixarChuva,baixarNivel,baixarVazao,latFormatada,lonFormatada,peridoDisponibilidade,horQChuva,horChuva,horQNivelAdotado,horNivelAdotado,horQVazao,horVazao
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T10:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50496.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T11:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50490.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T12:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50485.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T13:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T14:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T15:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T16:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T17:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T18:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50831.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T19:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50484.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T20:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T21:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T22:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-01T23:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-02T10:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-02T11:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-02T12:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-02T13:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50483.0,,
"{'horEstacao': 231149230, 'horDataHora': '2019-01-02T14:00:00.000+0000'}",64221000,64221000,,64221000,UHE PARANAPANEMA BARRAMENTO,-23.1869,-49.3842,505,2016-07-06T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANAPANEMA,SÃO PAULO,PIRAJU,64,64100000,21,21389000,1056,1056,2015-03-01T01:00:00.000+0000,2024-05-28T13:00:00.000+0000,ENEL GREEN,ENEL GREEN,Fluviométrica,1,231149230 - UHE PARANAPANEMA BARRAMENTO,,False,False,False,S 23° 11' 12.84'',W 49° 23' 3.12'',28/02/2015 à 28/05/2024,,,0.0,50484.0,,
