id,nome,tipoEstacao,codigoAdicional,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,responsavelSigla,operadoraSigla,areaDrenagem,latitude,longitude,altitude
10010000,PATATE DJ AMBATO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-1.25,-78.51,
10010900,NEGRO AJ PUMANCUCHI,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO PASTAZA,EQUADOR,EQUADOR,EQUADOR,EQUADOR,91.0,-0.7758,-78.7731,3060.0
10011000,NAGSICHE P E CUSUBAMBA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO PASTAZA,EQUADOR,EQUADOR,EQUADOR,EQUADOR,275.0,-1.0617,-78.6903,2960.0
10011100,AMBATO EN AMBATO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO PASTAZA,EQUADOR,EQUADOR,EQUADOR,EQUADOR,763.0,-1.2589,-78.6628,2680.0
10011200,PACHANLICA AJ AMBATO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO PASTAZA,EQUADOR,EQUADOR,EQUADOR,EQUADOR,407.0,-1.2364,-78.5494,2310.0
10011300,PASTAZA EN BANÕS,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO PASTAZA,EQUADOR,EQUADOR,EQUADOR,EQUADOR,7983.0,-1.3897,-78.4211,1729.0
10011400,OZOGOCHE EN LOS LAGOS,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO PASTAZA,EQUADOR,EQUADOR,EQUADOR,EQUADOR,64.0,-2.2453,-78.5978,3715.0
10011500,ALAO EN HDA ALAO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO PASTAZA,EQUADOR,EQUADOR,EQUADOR,EQUADOR,117.0,-1.8697,-78.5111,3200.0
10011600,PUELA AJ CHAMBO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO PASTAZA,EQUADOR,EQUADOR,EQUADOR,EQUADOR,223.0,-1.53,-78.4481,2460.0
10011700,GUARGUALLA AJ CEBADAS,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO PASTAZA,EQUADOR,EQUADOR,EQUADOR,EQUADOR,195.0,-1.8675,-78.6022,2828.0
10011800,PISAYAMBO AJ QUILLOPACCHA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO PASTAZA,EQUADOR,EQUADOR,EQUADOR,EQUADOR,77.0,-1.0669,-78.4075,3480.0
10011900,VERDE AJ PASTAZA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO PASTAZA,EQUADOR,EQUADOR,EQUADOR,EQUADOR,147.0,-1.3986,-78.2964,1315.0
10012000,PASTAZA AJ ENCANTO,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO PASTAZA,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-1.4283,-78.1767,1150.0
10012400,RIO GUAGRAYACU,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.4636,-78.9156,
10012500,PANO SECTOR CERRO QUILINDAÑA,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-0.8381,-78.3117,
10012600,TENIENTE HUGO ORTIZ,Fluviométrica,,1 - RIO AMAZONAS,"10 - RIO SOLIMÕES, JAVARI,ITACUAI",RIO NAPO,EQUADOR,EQUADOR,EQUADOR,EQUADOR,,-1.3736,-77.9525,
