id,codigoAdicional,aneelPlu,aneelFlu,nome,latitude,longitude,altitude,ultimaAtualizacao,baciaCodigo,codigoNomeBacia,codigoNomeSubBacia,nomeRio,nomeEstado,nomeMunicipio,subBaciaCodigo,rioCodigo,estadoCodigo,municipioCodigo,responsavelCodigo,operadoraCodigo,menorDataPeriodo,maiorDataPeriodo,responsavelSigla,operadoraSigla,tipoEstacao
40363010,13150000,,13150000,ITAPÉUA,-4.0578,-63.0278,40.0,2023-09-11T03:00:00.000+0000,1,1 - Rio Amazonas,"13 - RIO SOLIMOES,PURUS,COARI,..",RIO SOLIMÕES/AMAZONAS,AMAZONAS,COARI,13,10001000.0,3,3012000,1,1,2001-09-17T09:00:00.000+0000,2015-12-22T11:30:00.000+0000,ANA,CPRM,Fluviométrica
155352140,24700000,,24700000,BARRA DO GARÇAS,-15.8914,-52.2278,,2024-05-09T03:00:00.000+0000,2,2 - Rio Tocantins,"24 - RIO ARAGUAIA,CAIAPO,CLARO.....",RIO ARAGUAIA,GOIÁS,ARAGARÇAS,24,24001000.0,26,26018000,1,1,2001-09-17T12:00:00.000+0000,2024-05-30T13:30:00.000+0000,ANA,CPRM,Fluviométrica
281449100,84559800,,84559800,BRAÇO DO NORTE-MONTANTE,-28.2389,-49.1631,68.0,2023-06-19T03:00:00.000+0000,8,"8 - Atlântico, Trecho Sudeste","84 - RIOS TUBARAO,ARARANGUA E .....",RIO BRAÇO DO NORTE,SANTA CATARINA,BRAÇO DO NORTE,84,84350000.0,23,23028000,1,1,2005-06-01T01:00:00.000+0000,2024-05-30T12:45:00.000+0000,ANA,EPAGRI-SC,Fluviométrica
103349560,26800000,,26800000,BARREIRA DA CRUZ,-10.5647,-49.9342,220.0,2024-05-09T03:00:00.000+0000,2,2 - Rio Tocantins,"26 - RIO ARAGUAIA,MORTES,JAVAES....",RIO JAVAÉS,TOCANTINS,PIUM,26,26600000.0,29,29089000,1,1,2002-03-23T20:00:00.000+0000,2024-05-30T13:30:00.000+0000,ANA,CPRM,Fluviométrica
243148070,81380000,,81380000,ELDORADO,-24.5197,-48.1056,70.0,2024-02-06T03:00:00.000+0000,8,"8 - Atlântico, Trecho Sudeste",81 - RIO RIBEIRA DO IGUAPE,RIO RIBEIRA DO IGUAPE,SÃO PAULO,ELDORADO,81,81001000.0,21,21149000,1,1,2005-06-01T01:00:00.000+0000,2022-06-16T15:00:00.000+0000,ANA,CPRM,Fluviométrica
270749600,83050000,,83050000,TAIÓ,-27.1139,-49.9953,360.0,2023-06-19T03:00:00.000+0000,8,"8 - Atlântico, Trecho Sudeste",83 - RIO ITAJAI-ACU,RIO ITAJAÍ DO OESTE,SANTA CATARINA,TAIÓ,83,83100000.0,23,23175000,1,1,2002-09-01T04:00:00.000+0000,2024-03-14T14:00:00.000+0000,ANA,EPAGRI-SC,Fluviométrica
271249380,83300200,,83300200,RIO DO SUL - NOVO,-27.2078,-49.6292,350.0,2023-06-06T03:00:00.000+0000,8,"8 - Atlântico, Trecho Sudeste",83 - RIO ITAJAI-ACU,RIO ITAJAÍ-AÇU,SANTA CATARINA,RIO DO SUL,83,83001000.0,23,23145000,1,1,2002-09-01T04:00:00.000+0000,2024-03-20T16:00:00.000+0000,ANA,EPAGRI-SC,Fluviométrica
265549040,83800002,,83800002,BLUMENAU (PCD),-26.9186,-49.0656,12.0,2023-08-18T03:00:00.000+0000,8,"8 - Atlântico, Trecho Sudeste",83 - RIO ITAJAI-ACU,RIO ITAJAÍ-AÇU,SANTA CATARINA,BLUMENAU,83,83001000.0,23,23024000,1,1,2002-09-01T04:00:00.000+0000,2024-02-07T17:45:00.000+0000,ANA,EPAGRI-SC,Fluviométrica
114547500,22220000,,22220000,PORTO JERÔNIMO - FAZ. PIRACICABA,-11.7586,-47.8367,282.0,2024-05-09T03:00:00.000+0000,2,2 - Rio Tocantins,"22 - RIO TOCANTINS,M. ALVES,SONO...",RIO MANUEL ALVES ,TOCANTINS,CHAPADA DA NATIVIDADE,22,22200000.0,29,29031200,1,1,2002-03-23T20:00:00.000+0000,2024-05-30T13:30:00.000+0000,ANA,CPRM,Fluviométrica
34645120,33380010,444030,33380010,ARATOÍ GRANDE,-3.7722,-45.2181,,2024-03-25T03:00:00.000+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","33 - RIOS MEARIM,ITAPECURU E OUTROS",RIO GRAJAU,MARANHÃO,BELA VISTA DO MARANHÃO,33,33270000.0,7,7017200,391,391,2010-10-18T06:00:00.000+0000,2024-05-30T12:45:00.000+0000,SEMA-MA,SEMA-MA,Fluviométrica
110168450,13470010,0,13470010,BRASILÉIA - CPRM,-11.0178,-68.745,,2023-09-11T03:00:00.000+0000,1,1 - Rio Amazonas,"13 - RIO SOLIMOES,PURUS,COARI,..",RIO ACRE,ACRE,BRASILÉIA,13,13330000.0,2,2002000,82,82,2005-09-05T08:00:00.000+0000,2017-02-17T18:30:00.000+0000,CPRM,CPRM,Fluviométrica
23856450,16350002,,16350002,PARINTINS,-2.6306,-56.7519,,2023-09-15T03:00:00.000+0000,1,1 - Rio Amazonas,"16 - RIO AMAZONAS,TROMBETAS,OUTROS",RIO SOLIMÕES/AMAZONAS,AMAZONAS,PARINTINS,16,10001000.0,3,3034000,1,1,2005-08-01T01:00:00.000+0000,2017-02-21T17:30:00.000+0000,ANA,CPRM,Fluviométrica
64551590,18460000,651004,18460000,BOA SORTE,-6.7358,-51.9953,,2023-09-20T03:00:00.000+0000,1,1 - Rio Amazonas,"18 - RIO AMAZONAS,XINGU,IRIRI,PARU",RIO XINGU,PARÁ,SÃO FÉLIX DO XINGÚ,18,18500000.0,5,5075000,1,1,2005-07-01T01:00:00.000+0000,2024-05-30T12:45:00.000+0000,ANA,CPRM,Fluviométrica
43354000,18700000,454003,18700000,PEDRA DO Ó,-4.5278,-54.0125,,2023-09-20T03:00:00.000+0000,1,1 - Rio Amazonas,"18 - RIO AMAZONAS,XINGU,IRIRI,PARU",RIO IRIRI,PARÁ,ALTAMIRA,18,18570000.0,5,5006000,1,1,2005-10-10T11:00:00.000+0000,2024-05-30T13:30:00.000+0000,ANA,CPRM,Fluviométrica
34351560,30050000,8351006,30050000,ESTIRÃO DO CRICOU,3.7217,-51.9308,,2023-12-06T03:00:00.000+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","30 - RIOS OIAPOQUE,ARAGUARI E .....",RIO OIAPOQUE,AMAPÁ,OIAPOQUE,30,30100000.0,6,6005000,1,1,2005-08-01T09:00:00.000+0000,2024-05-30T11:45:00.000+0000,ANA,CPRM,Fluviométrica
202755460,66945000,,66945000,AQUIDAUANA,-20.4783,-55.8014,133.0,2024-05-09T03:00:00.000+0000,6,6 - Rio Paraná ,"66 - RIOS PARAGUAI,SAO LOURENCO E .",RIO AQUIDAUANA,MATO GROSSO DO SUL,AQUIDAUANA,66,66425000.0,28,28008000,1,1,2009-12-01T00:00:00.000+0000,2024-05-30T13:00:00.000+0000,ANA,CPRM,Fluviométrica
12256510,16590000,,16590000,TABULEIRO  -  REBIO TROMBETAS,-1.3706,-56.8519,,2023-09-15T14:15:38.330+0000,1,1 - Rio Amazonas,"16 - RIO AMAZONAS,TROMBETAS,OUTROS",RIO TROMBETAS,PARÁ,ORIXIMINÁ,16,16700000.0,5,5053000,1,1,2005-12-01T19:00:00.000+0000,2019-06-26T17:45:00.000+0000,ANA,CPRM,Fluviométrica
222851580,63995080,,63995080,UHE PORTO PRIMAVERA BARRAMENTO,-22.4817,-52.9564,280.0,2015-03-11T03:00:00.000+0000,6,6 - Rio Paraná ,"63 - RIOS PARANA,PARDO E OUTROS",RIO PARANÁ,SÃO PAULO,ROSANA,63,60001000.0,21,21443800,6,6,2008-10-21T00:00:00.000+0000,2024-05-28T12:00:00.000+0000,CESP,CESP,Fluviométrica
202351221,62020080,,62020080,UHE ILHA SOLTEIRA  BARRAMENTO,-20.3797,-51.3686,,2021-08-18T03:00:00.000+0000,6,6 - Rio Paraná ,"62 - RIOS PARANA,TIETE E OUTROS",RIO PARANÁ,SÃO PAULO,ILHA SOLTEIRA,62,60001000.0,21,21206700,1062,1062,2008-10-21T00:00:00.000+0000,2024-05-30T08:00:00.523+0000,RIO PARANÁ,RIO PARANÁ,Fluviométrica
224353101,64575000,,64575000,UHE ITAIPU PORTO SÃO JOSÉ,-22.7181,-53.1767,232.0,2018-12-18T18:17:26.230+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARANÁ,PARANÁ,SÃO PEDRO DO PARANÁ,64,60001000.0,22,22260000,90,90,2009-12-14T00:00:00.000+0000,2024-05-30T12:00:00.933+0000,ITAIPU,ITAIPU,Fluviométrica
92061560,15575000,0,15575000,PIRATININGA,-9.3472,-61.9347,,2024-05-10T15:31:54.300+0000,1,1 - Rio Amazonas,"15 - RIO AMAZONAS,MADEIRA,GUAPORE,.",RIO MACHADINHO,RONDÔNIA,MACHADINHO D'OESTE,15,15240600.0,1,1007200,1,1,2009-08-23T13:00:00.000+0000,2023-03-22T01:30:00.000+0000,ANA,CPRM,Fluviométrica
172144570,41135006,1744046,41135006,PIRAPORA - PONTE,-17.3508,-44.9517,481.0,,4,4 - Rio São Francisco,"41 - RIOS SAO FRANCISCO,DAS VELHAS",RIO SÃO FRANCISCO,MINAS GERAIS,PIRAPORA,41,40001000.0,17,17511000,23,23,2010-01-12T14:00:00.000+0000,2012-07-11T02:59:00.000+0000,CEMIG,CEMIG,Fluviométrica
45937550,36760000,,36760000,QUIXERÉ,-5.0839,-37.9983,,2015-09-03T03:00:00.000+0000,3,"3 - Atlântico, Trecho Norte/Nordeste",36 - RIO JAGUARIBE,RIO JAGUARIBE,CEARÁ,QUIXERÉ,36,36001000.0,9,9115000,1,1,2009-03-20T03:00:02.000+0000,2015-11-11T15:00:00.000+0000,ANA,CPRM,Fluviométrica
6473850,37290000,,37290000,APARECIDA,-6.7853,-38.0869,170.0,2024-02-14T18:26:01.963+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO DO PEIXE,PARAÍBA,SOUSA,37,37220100.0,11,11162000,1,1,2009-07-08T00:00:02.000+0000,2015-08-21T13:00:00.000+0000,ANA,CPRM,Fluviométrica
22284350,58318002,,58318002,UEL SANTA CECÍLIA JUSANTE,-22.4794,-43.8344,350.0,2020-03-06T03:00:00.000+0000,5,"5 - Atlântico, Trecho Leste",58 - RIO PARAIBA DO SUL,RIO PARAÍBA DO SUL,RIO DE JANEIRO,BARRA DO PIRAÍ,58,58001000.0,19,19003000,8,8,2010-03-19T12:00:00.000+0000,2024-05-30T13:00:00.927+0000,LIGHT,LIGHT,Fluviométrica
81238320,48851120,,48851120,AÇUDE SERRINHA II - JUSANTE,-8.2108,-38.535,383.0,2024-05-03T15:15:51.130+0000,4,4 - Rio São Francisco,"48 - RIOS SAO FRANCISCO,PAJEU E ...",RIO PAJEÚ,PERNAMBUCO,SERRA TALHADA,48,48540000.0,12,12139000,1,1,,,ANA,CPRM,Fluviométrica
83240090,48330040,,48330040,SACO II - JUSANTE,-8.5439,-40.1661,391.0,2020-11-17T03:00:00.000+0000,4,4 - Rio São Francisco,"48 - RIOS SAO FRANCISCO,PAJEU E ...",RIACHO DAS GARÇAS,PERNAMBUCO,SANTA MARIA DA BOA VISTA,48,48240000.0,12,12126000,1,1,,,ANA,APAC-PE,Fluviométrica
81339532,48450020,,48450020,ENTREMONTES - JUSANTE,-8.2314,-39.8972,374.0,2020-11-17T03:00:00.000+0000,4,4 - Rio São Francisco,"48 - RIOS SAO FRANCISCO,PAJEU E ...",RIACHO SÃO PEDRO,PERNAMBUCO,PARNAMIRIM,48,48305000.0,12,12104000,1,1,,,ANA,APAC-PE,Fluviométrica
80139031,48321000,,48321000,SALGUEIRO - JUSANTE,-8.0314,-39.0619,437.0,2020-11-17T03:00:00.000+0000,4,4 - Rio São Francisco,"48 - RIOS SAO FRANCISCO,PAJEU E ...",RIACHO DO MEIO,PERNAMBUCO,VERDEJANTE,48,48320900.0,12,12161000,1,1,,,ANA,APAC-PE,Fluviométrica
83037422,49135005,,49135005,POÇO DA CRUZ - JUSANTE,-8.5097,-37.7061,410.0,2023-05-03T14:20:10.247+0000,4,4 - Rio São Francisco,"49 - RIOS SAO FRANCISCO,MOXOTO E ..",RIO MOXOTÓ,PERNAMBUCO,IBIMIRIM,49,49130000.0,12,12066000,1,1,,,ANA,CPRM,Fluviométrica
82638041,48853002,,48853002,AÇUDE BARRA DO JUÁ - JUSANTE,-8.4494,-38.0744,394.0,2023-05-03T14:20:07.883+0000,4,4 - Rio São Francisco,"48 - RIOS SAO FRANCISCO,PAJEU E ...",RIACHO DO NAVIO,PERNAMBUCO,FLORESTA,48,48540100.0,12,12057000,1,1,,,ANA,CPRM,Fluviométrica
154443180,44730900,,44730900,BICO DA PEDRA - ASSIEG,-15.7492,-43.3092,540.0,2020-11-24T03:00:00.000+0000,4,4 - Rio São Francisco,"44 - RIOS SAO FRANCISCO,VERDE GRD",RIO GORUTUBA,MINAS GERAIS,JANAÚBA,44,44260000.0,17,17351000,1,1,,,ANA,IGAM-MG,Fluviométrica
154943152,44907040,,44907040,BICO DA PEDRA - JUSANTE,-15.83,-43.2644,545.0,2020-11-24T03:00:00.000+0000,4,4 - Rio São Francisco,"44 - RIOS SAO FRANCISCO,VERDE GRD",RIO GORUTUBA,MINAS GERAIS,NOVA PORTEIRINHA,44,44260000.0,17,17449500,1,1,,,ANA,IGAM-MG,Fluviométrica
65038184,38110900,,38110900,SÃO GONÇALO - JUSANTE,-6.8447,-38.3097,245.0,2022-09-19T20:03:27.667+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","38 - RIOS PARAIBA,POTENJI E OUTROS",RIO PIRANHAS,PARAÍBA,SOUSA,38,38110000.0,11,11162000,1,1,,,ANA,AESA-PB,Fluviométrica
74036531,38820100,,38820100,SUMÉ - JUSANTE,-7.6711,-36.8975,517.0,2020-11-17T03:00:00.000+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","38 - RIOS PARAIBA,POTENJI E OUTROS",RIO SUCURU,PARAÍBA,SUMÉ,38,38620000.0,11,11163000,1,1,,,ANA,AESA-PB,Fluviométrica
152640500,53625100,,53625100,ENCRUZILHADA,-15.4472,-40.8453,500.0,2024-02-09T15:23:15.350+0000,5,"5 - Atlântico, Trecho Leste","53 - RIOS PARDO,CACHOEIRA E OUTROS",RIO PARDO,BAHIA,ENCRUZILHADA,53,53400000.0,16,16103000,1,1,,,ANA,INEMA-BA,Fluviométrica
91936381,39811000,,39811000,BICO DA PEDRA - JUSANTE,-9.3186,-36.6419,496.0,2022-05-05T17:04:38.970+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","39 - RIOS CAPIBARIBE,MUNDAU E .....",RIO BÁLSAMO,ALAGOAS,PALMEIRA DOS ÍNDIOS,39,39811500.0,13,13063000,1,1,,,ANA,SEMARH-AL,Fluviométrica
91936382,39811000,,39811000,BICO DA PEDRA - JUSANTE,-9.3186,-36.6419,496.0,2022-05-05T17:04:38.970+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","39 - RIOS CAPIBARIBE,MUNDAU E .....",RIO BÁLSAMO,ALAGOAS,PALMEIRA DOS ÍNDIOS,39,39811500.0,13,13063000,1,1,,,ANA,SEMARH-AL,Fluviométrica
73736531,37312150,37312150,,SANTA INÊS - JUSANTE,-7.63,-38.5947,421.0,2024-05-03T15:15:48.763+0000,3,"3 - Atlântico, Trecho Norte/Nordeste","37 - RIOS APODI,PIRANHAS E OUTROS",RIO PIANCÓ,PARAÍBA,CONCEIÇÃO,37,37220000.0,11,11044000,1,1,2022-08-19T10:00:00.000+0000,2024-05-30T10:00:00.000+0000,ANA,CPRM,Fluviométrica
155643380,44637900,,44637900,AGRESTE,-15.9408,-43.6419,498.0,2022-05-06T03:00:00.000+0000,4,4 - Rio São Francisco,"44 - RIOS SAO FRANCISCO,VERDE GRD",RIO VERDE GRANDE,MINAS GERAIS,SÃO JOÃO DA PONTE,44,44200000.0,17,17623000,1,1,2019-12-04T15:30:00.000+0000,2024-05-30T13:15:00.000+0000,ANA,CPRM,Fluviométrica
225249120,64314900,,64314900,PCH PONTE BRANCA BARRAMENTO,-22.875,-49.2142,565.0,2020-11-23T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO PARDO,SÃO PAULO,ÁGUAS DE SANTA BARBARA,64,64140000.0,21,21006000,384,384,2020-01-01T00:00:00.000+0000,2024-05-30T11:00:00.453+0000,EIRELI,EIRELI,Fluviométrica
112839310,51435000,51435000,,AÇUDE SÃO DOMINGOS,-11.4667,-39.5219,,2024-04-29T17:59:17.290+0000,5,"5 - Atlântico, Trecho Leste","51 - RIOS PARAGUACU,JEQUIRICA E ...",RIO DO CEDRO,BAHIA,SÃO DOMINGOS,51,51270200.0,16,16289400,140,140,2020-12-30T10:00:00.000+0000,2024-05-24T10:00:00.000+0000,UFBA,UFBA,Fluviométrica
111639090,50496600,50496600,,AÇUDE ARACI MONTANTE (OLARIA DO CAPISTANA),-11.2714,-39.1647,,2024-02-09T15:23:11.640+0000,5,"5 - Atlântico, Trecho Leste","50 - RIOS VAZA-BARRIS,ITAPICURU E .",RIO ITAPICURU,BAHIA,ARACI,50,50500000.0,16,16021000,114,114,2020-12-28T10:00:00.000+0000,2024-04-03T20:00:00.000+0000,INEMA-BA,INEMA-BA,Fluviométrica
260552570,65954175,,65954175,PCH BEDIM BARRAMENTO,-26.0911,-52.9558,565.0,2022-02-17T03:00:00.000+0000,6,6 - Rio Paraná ,"65 - RIOS PARANA,IGUACU E OUTROS",RIO SANTANA,PARANÁ,RENASCENÇA,65,65170600.0,22,22217000,1159,1159,2020-01-01T00:00:00.000+0000,2024-05-30T12:00:00.983+0000,SANTANA,SANTANA,Fluviométrica
134042410,45299150,45299150,,AÇUDE  LAGOA DA TORTA,-13.6783,-42.6878,,2022-10-06T13:12:30.247+0000,4,4 - Rio São Francisco,"45 - RIOS SAO FRANCISCO,CARINHANHA",RIACHO JATOBÁ,BAHIA,IGAPORÃ,45,45362300.0,16,16134000,1,1,,,ANA,INEMA-BA,Fluviométrica
225851490,64547600,,64547600,PCH SALTO BANDEIRANTES JUSANTE,-22.9781,-51.8328,358.0,2021-01-29T03:00:00.000+0000,6,6 - Rio Paraná ,"64 - RIOS PARANA,PARANAPANEMA E ...",RIO BANDEIRANTES DO NORTE,PARANÁ,SANTA FÉ,64,64171850.0,22,22235000,815,815,2020-01-01T00:00:00.000+0000,2024-05-28T12:00:00.000+0000,SANTAFÉ,SANTAFÉ,Fluviométrica
175553240,66313000,,66313000,PCH LAJARI BARRAMENTO RIBEIRÃO DA LAJE,-17.9214,-53.4014,767.0,2021-10-14T03:00:00.000+0000,6,6 - Rio Paraná ,"66 - RIOS PARAGUAI,SAO LOURENCO E .",RIBEIRÃO DA LAJE,MATO GROSSO,ALTO TAQUARI,66,66313400.0,25,25014000,1047,1047,2021-10-19T10:00:00.000+0000,2024-05-28T13:00:00.000+0000,LAJARI,LAJARI,Fluviométrica
264353200,74322100,,74322100,PCH ÂMBAR BARRAMENTO,-26.7228,-53.3431,308.0,2021-10-14T03:00:00.000+0000,7,7 - Rio Uruguai,"74 - RIOS URUGUAI,DA VARZEA E ....",RIO SARGENTO,SANTA CATARINA,ROMELÂNDIA,74,74202200.0,23,23150000,1122,1122,2021-12-04T20:00:00.000+0000,2024-05-30T09:00:00.950+0000,SARGENTO,SARGENTO,Fluviométrica
