nome,latitude,longitude
PATATE DJ AMBATO,-1.25,-78.51
NEGRO AJ PUMANCUCHI,-0.7758,-78.7731
NAGSICHE P E CUSUBAMBA,-1.0617,-78.6903
AMBATO EN AMBATO,-1.2589,-78.6628
PACHANLICA AJ AMBATO,-1.2364,-78.5494
PASTAZA EN BANÕS,-1.3897,-78.4211
OZOGOCHE EN LOS LAGOS,-2.2453,-78.5978
ALAO EN HDA ALAO,-1.8697,-78.5111
PUELA AJ CHAMBO,-1.53,-78.4481
GUARGUALLA AJ CEBADAS,-1.8675,-78.6022
PISAYAMBO AJ QUILLOPACCHA,-1.0669,-78.4075
VERDE AJ PASTAZA,-1.3986,-78.2964
PASTAZA AJ ENCANTO,-1.4283,-78.1767
RIO GUAGRAYACU,-0.4636,-78.9156
PANO SECTOR CERRO QUILINDAÑA,-0.8381,-78.3117
TENIENTE HUGO ORTIZ,-1.3736,-77.9525
DIEZ DE AGOSTO SECTOR AUGUSTO RIVADENEIRA,-1.4003,-77.8617
TALAG SECTOR EL PUENTE,-1.0753,-78.2461
TALAG SECTOR COMUNIDAD 6 DE MARZO,-1.0814,-77.8806
RIO PANO EN CIUDAD DEL TENA,-0.9972,-77.8161
RIO PANO,-0.9933,-77.815
RIO PANO,-0.9933,-77.815
RIO COSANGA,-0.5803,-77.8594
RIO TENA DJ RIO PANO,-0.9925,-77.8158
MISAHUALL AJ EN EL TENA,-0.9169,-77.8178
UNION DEL RIO TENA CON EL PANO,-0.9917,-77.8153
RIO TENA,-0.9925,-77.8158
TENA SECTOR MALECÓN,-0.9925,-77.8153
COSANGA SECTOR PUENTE,-0.5803,-77.8656
COSANGA AJ QUIJOS,-0.4917,-77.8639
TERMAS DE PAPALLACTA,-0.3617,-78.0589
RIO PAPALACTA,-0.3928,-78.0589
QUIJOS EN BAEZA,-0.4544,-77.8864
QUIJOS AJ BORJA,-0.4094,-77.8308
RIO OYACACHI EN PUENTE,-0.3214,-77.7917
QUIJOS DJ OYACACHI,-0.3028,-77.775
MISAHUALLI EN COTUNDO,-0.8389,-77.7839
SAN FRANCISCO DE BORJA SECTOR MINAS DE SUMACO,-0.035,-77.8319
JATUNYACU DJ ILOCULLIN,-1.0833,-77.9186
RIO MALO,-0.1528,-77.6411
YANAHURCO DJ VALLE,-0.6917,-77.2756
RIO LUMBAQUI EN PUENTE,-0.0444,-77.3319
RIO AGUARICO,-0.0567,-77.3242
COCA EN SAN SEBASTIAN,-0.3428,-77.0067
SAN SEBASTIAN DEL COCA SECTOR CAÑON DE LOS MONOS),-0.3422,-77.0067
RIO JONDACHI,-0.7817,-77.7906
NAPO AJ PAYAMINO,-0.5375,-77.0294
FRANCISCO DE ORELLANA,-0.4731,-76.9808
SAN PABLO DE USHPAYACU SECTOR COM. SANTO DOMINGO,-0.9472,-77.7503
SECTOR PUENTE EL SALADO,-0.9922,-77.6992
PAYAMINO AJ NAPO,-0.4428,-77.0081
RIO PAYAMINO,-0.4425,-77.0061
PUERTO MISAHUALLI PUENTE,-1.0367,-77.6669
NAPO UNION MISAHUALLI,-1.0356,-77.6661
RIO NAPO EN PUERTO MISAHUALLI,-1.0353,-77.6664
RIO SUNO,-0.6942,-77.3111
RIO YANAYACU 3,-0.3231,-76.9575
RIO DE LA PARKE,-0.3242,-76.8717
RIO SACHA,-0.3028,-76.8589
RIO SACHA EN PUENTE,-0.3036,-76.86
RIO EL ENO,-0.065,-76.8789
JIVINO VERDE SALIDA DEL PUEBLO JIVINIO,-0.1883,-76.8331
LIMONCOCHA SECTOR SHUSHUFINDI,-0.3528,-76.6114
PUERTO FRANCISCO DE ORELLANA,-0.4736,-76.9753
NUEVO ROCAFUERTE,-0.9167,-75.3961
LA SOFIA (PUENTE),0.3575,-77.6494
ROSA FLORIDA SECTOR EL PARAISO (PUENTE),0.2561,-77.4769
PACAYACU SECTOR SHUARA CINCO,0.0008,-77.5686
PACAYACU SECTOR PUENTE,0.0603,-77.5514
EL DORADO DE CASCALES SECTOR PUENTE COLGANTE,0.0706,-77.25
SANTA CECILIA SECTOR BATALLÓN SELVA 56 TUNGURAHUA,0.0606,-77.0011
NUEVA LOJA SECTOR LA PISTA,0.1014,-76.8617
NUEVA LOJA,0.0439,-76.8083
NUEVA LOJA SECTOR LAS GABARRAS,0.0606,-76.7817
PACAYACU SECTOR BELLAVISTA,-0.0056,-76.6444
CUYABENO SECTOR RESERVA DE CUYABENO (PUENTE),-0.03,-76.3156
PAPALLACTA SECTOR VÍA ANTIGUA A PAPALLACTA,-0.3711,-78.1481
GENERAL FARFAN SECTOR NUEVA MONTEPA,0.1436,-76.8067
PACAYACU SECTOR PLAYA ORIENTAL,0.2442,-76.5183
SANTA ELENA SECTOR EL CONEJO,0.2708,-76.4064
PALMA ROJA SECTOR TACE,0.1317,-76.105
PUERTO EL CARMEN DEL PUTUMAYO SECTOR MANSAYA,0.1008,-75.8978
SANTA ELENA SECTOR EL PALMAR PUENTE PEATONAL,0.4114,-76.2636
PUERTO EL CARMEN DEL PUTUMAYO SECTOR AGUAS BLANCAS,0.0514,-75.8128
PTE. STUART (ELECTROP),-11.8,-75.8166666666667
PUENTE COLCA - SANTO TOMÁS,-14.4164,-72.0758
PUENTE CUNYAC,-13.5597,-72.5736
PUENTE PAMPAS,-13.45,-73.8167
PISAC,-13.4275,-71.8411
PAUCARTAMBO,-13.3144,-71.595
