nome,latitude,longitude
RIO DAS ANTAS (S. José dos Ausentes),-28.7836,-49.9819
CAMISAS,-29.1075,-50.1753
USINA ARCADO,-28.9342,-50.0067
CGH CAMBARÁ BARRAMENTO,-28.9489,-50.0556
USINA SANTANA,-28.9364,-50.0844
PASSO DA GARRAFA,-28.9325,-50.1614
RIO DAS ANTAS (Jaquirana),-28.8,-50.4278
PCH PEZZI MONTANTE,-28.8047,-50.4936
PASSO DO GABRIEL,-28.8056,-50.495
PCH PEZZI ARROIO PINHEIRO ALTO,-28.7575,-50.5211
PCH PEZZI BARRAMENTO,-28.7922,-50.5647
PCH PASSO DO MEIO MONTANTE,-28.7883,-50.5611
PCH PASSO DO MEIO MONTANTE TAINHAS,-28.8644,-50.5622
PCH PASSO DO MEIO BARRAMENTO,-28.8067,-50.6128
PCH PASSO DO MEIO JUSANTE,-28.8161,-50.6214
PCH SERRA DOS CAVALINHOS I ARROIO DO GOVERNADOR,-28.79,-50.6789
PCH SERRA DOS CAVALINHOS I BARRAMENTO,-28.7964,-50.7294
TAINHAS,-29.27,-50.3083
CGH TRABUCO JUSANTE,-28.6022,-51.2344
PCH MORRO GRANDE MONTANTE,-28.5486,-51.3017
PCH MORRO GRANDE BARRAMENTO,-28.5589,-51.3111
PCH MORRO GRANDE JUSANTE 1,-28.5719,-51.3111
PCH MORRO GRANDE JUSANTE 2,-28.5919,-51.3247
PCH SALTINHO JUSANTE,-28.6364,-51.3806
PCH JARARACA BARRAMENTO,-28.9381,-51.4656
PASSO DO S,-29.0864,-50.3644
PASSO TAINHAS,-28.8681,-50.4561
PASSO TAINHAS JAQUIRANA,-28.8681,-50.4561
PCH SERRA DOS CAVALINHOS II BARRAMENTO,-28.7914,-50.7458
PCH SERRA DOS CAVALINHOS II JUSANTE,-28.7869,-50.7447
SÃO TOMÉ,-28.9236111111111,-50.6208333333333
USINA CAZUZA FERREIRA,-28.9311,-50.6314
PCH CRIÚVA MONTANTE,-29.0239,-50.7264
PCH CAZUZA FERREIRA MONTANTE,-29.0231,-50.7156
PCH CAZUZA FERREIRA BARRAMENTO,-29.0206,-50.7314
PCH CAZUZA FERREIRA ALÇA,-29.0197,-50.7339
LAGEADO GRANDE,-29.0166666666667,-50.7333333333333
PCH CAZUZA FERREIRA JUSANTE,-29.0206,-50.7342
PCH CRIÚVA BARRAMENTO,-28.9653,-50.7989
PCH CRIÚVA  ALÇA,-28.9639,-50.8028
PCH CRIÚVA JUSANTE,-28.945,-50.79
PCH PALANQUINHO BARRAMENTO,-28.8964,-50.8108
PCH PALANQUINHO ALÇA,-28.8994,-50.8136
PCH PALANQUINHO JUSANTE,-28.8681,-50.8206
USINA CRIÚVA,-28.9172,-50.8953
PASSO SÃO BERNARDO,-28.8631,-51.1106
ARROIO FAXINAL (SAMAE) CAXIAS,-29.0833333333333,-51.05
USINA SÃO MARCOS,-29.0372,-51.0944
PCH RIO SÃO MARCOS BARRAMENTO,-29.0367,-51.0956
PCH RIO SÃO MARCOS JUSANTE,-29.0361,-51.0986
USINA ANTÔNIO PRADO,-28.85,-51.3333333333333
PONTE ANTÔNIO PRADO,-28.8772,-51.1481
UHE CASTRO ALVES RS-122,-28.9414,-51.1892
NOVA ROMA,-28.965,-51.3411
RIO DAS ANTAS (Nova Pádua),-29.0111,-51.3667
UHE CASTRO ALVES BARRAMENTO,-29.0058,-51.3853
UHE CASTRO ALVES ALÇA,-29.0133,-51.3675
PCH CASTRO ALVES,-29.0308,-51.3581
USINA NOVA PÁDUA,-29.05,-51.2833
UHE CASTRO ALVES TEGA,-29.0633,-51.3236
RIO DAS ANTAS (Nova Roma do Sul),-29.0581,-51.3964
LINHA REPÚBLICA,-29.05,-51.4
PONTE SANTA RITA,-28.2925,-51.2744
PCH CHIMARRÃO RIO SANTA RITA,-28.4725,-51.36
RINCÃO DO CASTELHANO,-28.5056,-51.3586
CGH SALTINHO MONTANTE 2,-28.5931,-51.2725
