Lead,MSE,Accuracy
1.0,3.769401155295782e-05,0.006139544770121574
2.0,5.6918099289759994e-05,0.007544408552348614
3.0,8.441034879069775e-05,0.00918751023709774
4.0,0.0001645187585381791,0.012826486490666866
5.0,0.00021771145111415535,0.014755048789083958
6.0,0.00022926280507817864,0.015141426585614681
7.0,0.00038800359470769763,0.019697807729244232
8.0,0.00045397906797006726,0.021306784823536873
9.0,0.0005595822585746646,0.023655490949749947
10.0,0.0006924309418536723,0.026314083486795425
11.0,0.0009149668039754033,0.03024841845035553
12.0,0.0008592451922595501,0.02931288443505764
13.0,0.0009828635957092047,0.03135065361857414
14.0,0.0011559842387214303,0.033999767154455185
15.0,0.0015418116236105561,0.03926590830087662
16.0,0.0015733834588900208,0.03966589644551277
17.0,0.0016887569800019264,0.04109448939561844
18.0,0.0016877101734280586,0.0410817489027977
19.0,0.002240814734250307,0.04733724519610405
20.0,0.001987284980714321,0.044578973203897476
21.0,0.002331522526219487,0.048285841941833496
22.0,0.002651794347912073,0.05149557441473007
23.0,0.0024676464963704348,0.049675412476062775
24.0,0.002908293856307864,0.05392859876155853
25.0,0.0027515795081853867,0.05245549976825714
