Lead,MSE,Accuracy
1.0,7.02035758877173e-05,0.008378757163882256
2.0,0.00015873269876465201,0.012598915956914425
3.0,0.0002968820626847446,0.01723027043044567
4.0,0.00037634430918842554,0.019399596378207207
5.0,0.0004906714311800897,0.022151097655296326
9.0,0.0010981233790516853,0.03313793987035751
13.0,0.002045178087428212,0.04522364214062691
17.0,0.0032010357826948166,0.05657769739627838
21.0,0.003951049875468016,0.06285738945007324
25.0,0.004888387396931648,0.06991700083017349
29.0,0.006094399373978376,0.0780666396021843
33.0,0.007298740558326244,0.08543265610933304
37.0,0.00788070634007454,0.08877335488796234
