Date,Time,Stage (m)
1/1/2021,12:00:00 AM,86.03
1/1/2021,12:15:00 AM,86.03
1/1/2021,12:30:00 AM,86.03
1/1/2021,12:45:00 AM,86.03
1/1/2021,1:00:00 AM,86.03
1/1/2021,1:15:00 AM,86.03
1/1/2021,1:30:00 AM,86.03
1/1/2021,1:45:00 AM,86.03
1/1/2021,2:00:00 AM,86.03
1/1/2021,2:15:00 AM,86.03
1/1/2021,2:30:00 AM,86.03
1/1/2021,2:45:00 AM,86.03
1/1/2021,3:00:00 AM,86.03
1/1/2021,3:15:00 AM,86.03
1/1/2021,3:30:00 AM,86.03
1/1/2021,3:45:00 AM,86.03
1/1/2021,4:00:00 AM,86.03
1/1/2021,4:15:00 AM,86.03
1/1/2021,4:30:00 AM,86.03
1/1/2021,4:45:00 AM,86.03
1/1/2021,5:00:00 AM,86.03
1/1/2021,5:15:00 AM,86.03
1/1/2021,5:30:00 AM,86.03
1/1/2021,5:45:00 AM,86.03
1/1/2021,6:00:00 AM,86.03
1/1/2021,6:15:00 AM,86.02
1/1/2021,6:30:00 AM,86.02
1/1/2021,6:45:00 AM,86.02
1/1/2021,7:00:00 AM,86.02
1/1/2021,7:15:00 AM,86.02
1/1/2021,7:30:00 AM,86.02
1/1/2021,7:45:00 AM,86.02
1/1/2021,8:00:00 AM,86.02
1/1/2021,8:15:00 AM,86.02
1/1/2021,8:30:00 AM,86.03
1/1/2021,8:45:00 AM,86.03
1/1/2021,9:00:00 AM,86.03
1/1/2021,9:15:00 AM,86.03
1/1/2021,9:30:00 AM,86.03
1/1/2021,9:45:00 AM,86.03
1/1/2021,10:00:00 AM,86.03
1/1/2021,10:15:00 AM,86.03
1/1/2021,10:30:00 AM,86.03
1/1/2021,10:45:00 AM,86.03
1/1/2021,11:00:00 AM,86.03
1/1/2021,11:15:00 AM,86.03
1/1/2021,11:30:00 AM,86.03
1/1/2021,11:45:00 AM,86.03
1/1/2021,12:00:00 PM,86.03
1/1/2021,12:15:00 PM,86.03
1/1/2021,12:30:00 PM,86.03
1/1/2021,12:45:00 PM,86.03
1/1/2021,1:00:00 PM,86.03
1/1/2021,1:15:00 PM,86.03
1/1/2021,1:30:00 PM,86.03
1/1/2021,1:45:00 PM,86.03
1/1/2021,2:00:00 PM,86.03
1/1/2021,2:15:00 PM,86.03
1/1/2021,2:30:00 PM,86.03
1/1/2021,2:45:00 PM,86.03
1/1/2021,3:00:00 PM,86.03
1/1/2021,3:15:00 PM,86.03
1/1/2021,3:30:00 PM,86.03
1/1/2021,3:45:00 PM,86.03
1/1/2021,4:00:00 PM,86.03
1/1/2021,4:15:00 PM,86.03
1/1/2021,4:30:00 PM,86.03
1/1/2021,4:45:00 PM,86.03
1/1/2021,5:00:00 PM,86.03
1/1/2021,5:15:00 PM,86.03
1/1/2021,5:30:00 PM,86.03
1/1/2021,5:45:00 PM,86.03
1/1/2021,6:00:00 PM,86.03
1/1/2021,6:15:00 PM,86.04
1/1/2021,6:30:00 PM,86.04
1/1/2021,6:45:00 PM,86.04
1/1/2021,7:00:00 PM,86.04
1/1/2021,7:15:00 PM,86.04
1/1/2021,7:30:00 PM,86.04
1/1/2021,7:45:00 PM,86.04
1/1/2021,8:00:00 PM,86.04
1/1/2021,8:15:00 PM,86.04
1/1/2021,8:30:00 PM,86.04
1/1/2021,8:45:00 PM,86.05
1/1/2021,9:00:00 PM,86.05
1/1/2021,9:15:00 PM,86.04
1/1/2021,9:30:00 PM,86.05
1/1/2021,9:45:00 PM,86.05
1/1/2021,10:00:00 PM,86.06
1/1/2021,10:15:00 PM,86.07
1/1/2021,10:30:00 PM,86.1
1/1/2021,10:45:00 PM,86.14
1/1/2021,11:00:00 PM,86.19
1/1/2021,11:15:00 PM,86.23
1/1/2021,11:30:00 PM,86.27
1/1/2021,11:45:00 PM,86.3
1/2/2021,12:00:00 AM,86.32
1/2/2021,12:15:00 AM,86.33
1/2/2021,12:30:00 AM,86.35
1/2/2021,12:45:00 AM,86.41
1/2/2021,1:00:00 AM,86.45
1/2/2021,1:15:00 AM,86.44
1/2/2021,1:30:00 AM,86.45
1/2/2021,1:45:00 AM,86.48
1/2/2021,2:00:00 AM,86.52
1/2/2021,2:15:00 AM,86.55
1/2/2021,2:30:00 AM,86.54
1/2/2021,2:45:00 AM,86.49
1/2/2021,3:00:00 AM,86.46
1/2/2021,3:15:00 AM,86.43
1/2/2021,3:30:00 AM,86.4
1/2/2021,3:45:00 AM,86.38
1/2/2021,4:00:00 AM,86.37
1/2/2021,4:15:00 AM,86.35
1/2/2021,4:30:00 AM,86.34
1/2/2021,4:45:00 AM,86.34
1/2/2021,5:00:00 AM,86.33
1/2/2021,5:15:00 AM,86.32
1/2/2021,5:30:00 AM,86.31
1/2/2021,5:45:00 AM,86.31
1/2/2021,6:00:00 AM,86.31
1/2/2021,6:15:00 AM,86.3
1/2/2021,6:30:00 AM,86.3
1/2/2021,6:45:00 AM,86.29
1/2/2021,7:00:00 AM,86.29
1/2/2021,7:15:00 AM,86.28
1/2/2021,7:30:00 AM,86.28
1/2/2021,7:45:00 AM,86.28
1/2/2021,8:00:00 AM,86.27
1/2/2021,8:15:00 AM,86.27
1/2/2021,8:30:00 AM,86.26
1/2/2021,8:45:00 AM,86.26
1/2/2021,9:00:00 AM,86.26
1/2/2021,9:15:00 AM,86.25
1/2/2021,9:30:00 AM,86.25
1/2/2021,9:45:00 AM,86.25
1/2/2021,10:00:00 AM,86.25
1/2/2021,10:15:00 AM,86.25
1/2/2021,10:30:00 AM,86.25
1/2/2021,10:45:00 AM,86.25
1/2/2021,11:00:00 AM,86.26
1/2/2021,11:15:00 AM,86.27
1/2/2021,11:30:00 AM,86.28
1/2/2021,11:45:00 AM,86.29
1/2/2021,12:00:00 PM,86.3
1/2/2021,12:15:00 PM,86.31
1/2/2021,12:30:00 PM,86.31
1/2/2021,12:45:00 PM,86.32
1/2/2021,1:00:00 PM,86.32
1/2/2021,1:15:00 PM,86.32
1/2/2021,1:30:00 PM,86.32
1/2/2021,1:45:00 PM,86.32
1/2/2021,2:00:00 PM,86.33
1/2/2021,2:15:00 PM,86.32
1/2/2021,2:30:00 PM,86.32
1/2/2021,2:45:00 PM,86.32
1/2/2021,3:00:00 PM,86.32
1/2/2021,3:15:00 PM,86.32
