ID_WaterChem_Entries,Source,Program,field_method,event,Location_Number,Location_Name,Sample_Date,Sample_Time,Parameter,Prefix,Result,Result_Unit,Detection_Flag,Detection_Limit,Result_ID,Result_Properties,Result_Method,FieldProbe,Percent_Ice_Cover,Flow_Condition,Site_Field_Notes,Weather,IWMP_Sampling_Run,Sampled_By,Sample_Session_Notes,Lab_WorkOrder_Number,Entered_Who,Entered_When,Source_Parameter,Source_Result,Source_Result_Unit,Outside_Range,current_low_range,current_high_range,DB_admin_Notes,Omit_Listing,Temp_Source_Result_Text_Format,REMOVE_Source_Result,general_notes,SSMA_TimeStamp
931931,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,Ammonia_N,,0.23,mg/L,Y,0.01,,,US GS I-2522-90,,,,,,,,,MI5688-05,67044,7/30/2012,Total Ammonia-N,0.23,mg/L,0,0.006,0.3,,FALSE,,0,,
931872,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,Calcium_Ca,,67.6,mg/L,Y,0.1,,,EPA 6020,,,,,,,,,MI5688-04,67044,7/30/2012,Calcium (Ca),67600,ug/L,0,43.3,97,,FALSE,,0,,
931871,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,Calcium_Dissolved,,70.9,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,MI5688-01,67044,7/30/2012,Dissolved Calcium (Ca),70.9,mg/L,0,27.1,98.5,,FALSE,,0,,
931932,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,Chloride_Cl,,200,mg/L,Y,2,,,EPA 325.2,,,,,,,,,MI5688-01,67044,7/30/2012,Dissolved Chloride (Cl),200,mg/L,0,27.4,245,,FALSE,,0,,
916844,CVC Field Data,IWMP,FieldGrab,Wet,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,DO_Field,,13.94,mg/L,,,,,,,,0,,,,,,,67044,5/24/2012,DO Field,13.94,mg/L,-1,7,13.5,,FALSE,,0,"pH climbing slowly, 0.01 every 10-20 seconds.",
931947,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,Magnesium_Dissolved,,12.8,mg/L,Y,0.05,,,SW-846 6010C,,,,,,,,,MI5688-01,67044,7/30/2012,Dissolved Magnesium (Mg),12.8,mg/L,0,3.89,24,,FALSE,,0,,
931948,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,Magnesium_Mg,,12.8,mg/L,Y,0.025,,,EPA 6020,,,,,,,,,MI5688-04,67044,7/30/2012,Magnesium (Mg),12800,ug/L,0,12,26.2,,FALSE,,0,,
931923,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,NO2_N,,0.13,mg/L,Y,0.01,,,SM 4500 NO3I/NO2B,,,,,,,,,MI5688-01,67044,7/30/2012,Nitrite (N),0.13,mg/L,-1,0.005,0.073,,FALSE,,0,,
931938,Maxxam,IWMP,,,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,NO3_N,,9.4,mg/L,Y,0.5,,,SM 4500 NO3I/NO2B,,,,,,,,,MI5688-01,67044,7/30/2012,Nitrate (N),9.4,mg/L,-1,0.2,3.3,,FALSE,,0,,
916571,CVC Field Data,IWMP,FieldGrab,Wet,501060002,Levi Creek u/s Derry Rd,1/25/2012,10:52:00 AM,pH_Field,,7.94,pH Units,,,,,,,,0,,,,,,,67044,5/24/2012,pH Field,7.94,pH Units,0,7.13,8.34,,FALSE,,0,"pH climbing slowly, 0.01 every 10-20 seconds.",
