NAME,STATION,LATITUDE,LONGITUDE,DESCRIPTION
"Alton at Emeline St",8170015,43.853295,-80.069790,"precipitation"
"Barbour Fields",8150013,43.793326,-80.127363,"precipitation"
"Carolyn Creek at Creditview Rd",8020002,43.585596,-79.694707,"precipitation"
"Caledon WMF",8180003,43.837663,-80.018951,"precipitation"
"Credit River at Boston Mills Rd",8200007,43.771436,-79.926274,"precipitation"
"Credit River at Cataract",,43.834409,-80.021984,"precipitation"
"Credit River at Hwy 7",8090012,43.647376,-79.860186,"precipitation"
"Credit River at Mississaugua Golf and Country Club",8090002,43.553031,-79.625146,"precipitation"
"Erin at Elora Cataract Trailway",8150019,43.780373,-80.066335,"precipitation"
"Island Lake CA",8190013,43.933419,-80.080116,"precipitation"
"Lorne Park Wastewater Treatment Plant",8210006,43.528945,-79.608422,"precipitation"
"Silver Creek CA",8110011,43.696402,-79.973326,"precipitation"
"Warwick Conservation Area",8130007,43.821479,-79.901265,"precipitation"
"West Credit River at 8th Line",8150010,43.771791,-80.093548,"precipitation"
