Date (EST)	Parameter 	Value (m³/s)	Approval	Qualifier
2022-11-07 08:03:00	47	0.266	Final	ESTIMATED
2022-11-07 08:18:00	47	0.266	Final	ESTIMATED
2022-11-07 08:33:00	47	0.266	Final	ESTIMATED
2022-11-07 08:48:00	47	0.266	Final	ESTIMATED
2022-11-07 09:03:00	47	0.266	Final	ESTIMATED
2022-11-07 09:18:00	47	0.266	Final	ESTIMATED
2022-11-07 09:33:00	47	0.266	Final	ESTIMATED
2022-11-07 09:48:00	47	0.266	Final	ESTIMATED
2022-11-07 10:03:00	47	0.266	Final	ESTIMATED
2022-11-07 10:18:00	47	0.266	Final	ESTIMATED
2022-11-07 10:33:00	47	0.266	Final	ESTIMATED
2022-11-07 10:48:00	47	0.266	Final	ESTIMATED
2022-11-07 11:03:00	47	0.266	Final	ESTIMATED
2022-11-07 11:18:00	47	0.266	Final	ESTIMATED
2022-11-07 11:33:00	47	0.266	Final	ESTIMATED
2022-11-07 11:48:00	47	0.266	Final	ESTIMATED
2022-11-07 12:03:00	47	0.266	Final	ESTIMATED
2022-11-07 12:18:00	47	0.266	Final	ESTIMATED
2022-11-07 12:33:00	47	0.266	Final	ESTIMATED
2022-11-07 12:48:00	47	0.266	Final	ESTIMATED
2022-11-07 13:03:00	47	0.266	Final	ESTIMATED
2022-11-07 13:18:00	47	0.266	Final	ESTIMATED
2022-11-07 13:33:00	47	0.266	Final	ESTIMATED
2022-11-07 13:48:00	47	0.266	Final	ESTIMATED
2022-11-07 14:03:00	47	0.266	Final	ESTIMATED
2022-11-07 14:18:00	47	0.266	Final	ESTIMATED
2022-11-07 14:33:00	47	0.266	Final	ESTIMATED
2022-11-07 14:48:00	47	0.266	Final	ESTIMATED
2022-11-07 15:03:00	47	0.266	Final	ESTIMATED
2022-11-07 15:18:00	47	0.266	Final	ESTIMATED
2022-11-07 15:33:00	47	0.266	Final	ESTIMATED
2022-11-07 15:48:00	47	0.266	Final	ESTIMATED
2022-11-07 16:03:00	47	0.266	Final	ESTIMATED
2022-11-07 16:18:00	47	0.266	Final	ESTIMATED
2022-11-07 16:33:00	47	0.266	Final	ESTIMATED
2022-11-07 16:48:00	47	0.266	Final	ESTIMATED
2022-11-07 17:03:00	47	0.266	Final	ESTIMATED
2022-11-07 17:18:00	47	0.266	Final	ESTIMATED
2022-11-07 17:33:00	47	0.266	Final	ESTIMATED
2022-11-07 17:48:00	47	0.266	Final	ESTIMATED
2022-11-07 18:03:00	47	0.266	Final	ESTIMATED
2022-11-07 18:18:00	47	0.266	Final	ESTIMATED
2022-11-07 18:33:00	47	0.266	Final	ESTIMATED
2022-11-07 18:48:00	47	0.266	Final	ESTIMATED
2022-11-07 19:03:00	47	0.266	Final	ESTIMATED
2022-11-07 19:18:00	47	0.266	Final	ESTIMATED
2022-11-07 19:33:00	47	0.266	Final	ESTIMATED
2022-11-07 19:48:00	47	0.266	Final	ESTIMATED
2022-11-07 20:03:00	47	0.266	Final	ESTIMATED
2022-11-07 20:18:00	47	0.266	Final	ESTIMATED
2022-11-07 20:33:00	47	0.266	Final	ESTIMATED
2022-11-07 20:48:00	47	0.266	Final	ESTIMATED
2022-11-07 21:03:00	47	0.266	Final	ESTIMATED
2022-11-07 21:18:00	47	0.266	Final	ESTIMATED
2022-11-07 21:33:00	47	0.266	Final	ESTIMATED
2022-11-07 21:48:00	47	0.266	Final	ESTIMATED
2022-11-07 22:03:00	47	0.266	Final	ESTIMATED
2022-11-07 22:18:00	47	0.266	Final	ESTIMATED
2022-11-07 22:33:00	47	0.266	Final	ESTIMATED
2022-11-07 22:48:00	47	0.266	Final	ESTIMATED
2022-11-07 23:03:00	47	0.266	Final	ESTIMATED
