STATION,NAME,DESCRIPTION,LATITUDE,LONGITUDE,STATUS,FIRST_YEAR,LAST_YEAR,TOTAL_YEARS,MISS_YEARS
03007703502,Uxbirdge Brook,"Davis Drive,  Uxbridge Twp,",44.13775764,-79.11259961,A,2002,2021,20,0
03007703602,Hawkestone Creek,"11Th Ln,  Hawkestone,",44.49636189,-79.46684923,A,2002,2021,20,0
03007703802,Black River,"High St,  Sutton,",44.30473701,-79.36042573,A,2002,2021,20,0
03007703902,Holland River,"Yonge St,  Holland Landing,",44.09483164,-79.48995273,A,2002,2021,20,0
03007704002,Pefferlaw Brook,"Pineview Crt,  Pefferlaw,",44.31673376,-79.20137861,A,2002,2021,20,0
03007704102,Beaverton River,"At Fish Ladder,  Dwnstrm Mara Rd Bridge,",44.43029614,-79.15510248,A,2002,2021,20,0
03008500102,Musquash River,"Hwy 69 2.5 Miles N.Of Hwy.69&660,",45.02209389,-79.77733586,I,1966,2002,29,8
03008500202,Rosseau Lake Outlet,"Highway 118 Port Carling,",45.12005477,-79.57728511,I,1966,1991,26,0
03008500302,Muskoka Lake Outlet,"At Highway No 169 Bala,",45.01248614,-79.61451798,I,1966,1995,30,0
03008500402,Muskoka River South,"Highway 11 Muskoka Falls,",45.00237889,-79.30209861,I,1965,1995,31,0
03008500502,Muskoka River North,"At Highway 11,",45.08829789,-79.29996811,I,1965,1992,4,24
03008500602,Mary Lake Outlet,"At Regional Road No. 10 Port Sydney,",45.21309439,-79.27508348,I,1965,1995,31,0
03008500702,Fairy Lake Outlet,"At Regional Road No. 2 Huntsville,",45.30358427,-79.20404798,I,1966,1990,25,0
03008500802,Lake Vernon Outlet,"Highway 11B Huntsville,",45.32763339,-79.21491861,I,1966,1995,30,0
03008500902,Lake Of Bays Outlet,"Highway No. 117 Baysville,",45.15024139,-79.11164861,I,1965,1990,26,0
03008501002,Indian River,"Small Lock Port Carling,",45.12016377,-79.57632211,I,1967,1977,11,0
03008501102,Indian River,"Hanna Park Port Carling,",45.11104527,-79.57624023,I,1967,1995,29,0
03008501202,Muskoka River North Branch,"Upstream Of South Branch Bracebridge,",45.03352114,-79.31377136,I,1968,1977,10,0
03008501302,Muskoka River North Branch,"Highway 11B Bracebridge,",45.03922002,-79.30788936,I,1968,1977,10,0
03008501401,Lake Of Bays,"Highway 35,  Dorset,",45.24607702,-78.89205836,I,1968,1995,27,1
03008501502,Muskoka River North,"Above Bracebridge Falls,",45.04207239,-79.30909573,I,1969,1969,1,0
03008501601,Lake Muskoka,"Near Cape May,",45.03330177,-79.61295136,I,1969,1970,2,0
03001600202,Sydenham River,"At Eight Street West City Of Owen Sound,",44.56367864,-80.94420186,I,1972,1975,4,0
03001600302,Sydenham River,"Grey Cnty Rd 18,  Upstrm Inglis Falls,",44.52217814,-80.93089011,A,1975,2021,42,5
03001600402,Spey River,"At Highways 6 And 10 North Of Chatsworth,",44.46831451,-80.90539448,I,1975,1979,5,0
03001700102,Telfer Creek,"At Bridge Village Of Leith,",44.62545539,-80.87678861,I,1964,1971,8,0
03001700202,Telfer Creek,"Thompson Memorial Footbridge,  Leith,",44.62385189,-80.87577098,A,1972,2021,45,5
03001800102,Keefer Creek,"Appr. 2 Km. N.E. Of Annan,",44.62463989,-80.83047648,I,1995,1996,2,0
03002000102,Waterton Creek,"At Sydenham Twp Road 10 Balaclava,",44.68145801,-80.78450686,I,1965,1975,4,7
01011700102,Pigeon River,"At Highway 61,  Pigeon River,",48.01045027,-89.70833474,I,1973,1978,6,0
02000600102,Bar River,"At First Bridge Above Lake George,",46.42512514,-84.08864586,I,1973,1992,9,11
02000700102,Echo River,"At First Bridge Above Echo Bay,",46.50886402,-84.04526836,I,1973,1992,9,11
