STATION,DATE_YYYYMMDD,TIME_HH:MM,PARM_DESCRIPTION,UNITS,RESULT,PARM
6007600302,2010-01-06,10:29,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.3,MGUT
6007600302,2010-01-06,10:29,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,97.6,CLIDUR
6007600302,2010-01-06,10:29,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.038,NNHTUR
6007600302,2010-01-06,10:29,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,3.0,NNOTUR
6007600302,2010-01-06,10:29,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,89.5,CAUT
6007601002,2010-01-06,12:45,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,83.1,CAUT
6007601002,2010-01-06,12:45,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,68.5,CLIDUR
6007601002,2010-01-06,12:45,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.044,NNHTUR
6007601002,2010-01-06,12:45,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.58,NNOTUR
6007601002,2010-01-06,12:45,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,19.5,MGUT
6007601802,2010-01-06,13:30,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.06,NNHTUR
6007601802,2010-01-06,13:30,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.8,NNOTUR
6007601802,2010-01-06,13:30,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,105.0,CLIDUR
6007601802,2010-01-06,13:30,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,80.3,CAUT
6007601802,2010-01-06,13:30,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,19.5,MGUT
6007600602,2010-01-06,14:02,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.33,NNOTUR
6007600602,2010-01-06,14:02,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.089,NNHTUR
6007600602,2010-01-06,14:02,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,270.0,CLIDUR
6007600602,2010-01-06,14:02,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,21.8,MGUT
6007600602,2010-01-06,14:02,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,87.8,CAUT
6007602302,2010-01-06,14:19,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,20.5,MGUT
6007602302,2010-01-06,14:19,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,87.4,CAUT
6007602302,2010-01-06,14:19,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,1.78,NNOTUR
6007602302,2010-01-06,14:19,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.121,NNHTUR
6007602302,2010-01-06,14:19,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,240.0,CLIDUR
6007605002,2010-01-06,8:30,"CALCIUM, UNFILTERED TOTAL",MILLIGRAM PER LITER,99.2,CAUT
6007605002,2010-01-06,8:30,"MAGNESIUM,UNFILTERED TOTAL",MILLIGRAM PER LITER,22.2,MGUT
6007605002,2010-01-06,8:30,"CHLORIDE,         UNFIL.REAC",MILLIGRAM PER LITER,218.0,CLIDUR
6007605002,2010-01-06,8:30,"AMMONIUM, TOTAL   UNFIL.REAC",MILLIGRAM PER LITER,0.029,NNHTUR
6007605002,2010-01-06,8:30,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,2.78,NNOTUR
6007601702,2010-01-06,9:14,"NITRATES TOTAL,   UNFIL.REAC",MILLIGRAM PER LITER,2.63,NNOTUR
